Revenue deductions provisions at January 1,Revenue deductions provisions related to discontinued operations,Effect of currency translation and business combinations,Payments/utilizations,Income statement charge,Adjustments of prior years,Current year,Change in provisions offset against gross trade receivables,Revenue deductions provisions at December 31
USD millions,,,,,,,,
2021,US-specific healthcare plans and program rebates,2 053,- 5 326,- 202,5 675,2 200,2 200,2 200
,Non-US-specific healthcare plans and program rebates,2 272,- 154,- 3 439,20,3 451,5,2 155
,"Non-healthcare plans and program-related rebates, returns and other deductions",1 931,- 64,- 11 073,- 63,11 287,108,2 126
Total 2021,6 256,- 218,- 19 838,- 245,20 413,113,6 481,6 481
2020,US-specific healthcare plans and program rebates,1 981,- 5 560,- 107,5 739,2 053,2 053,2 053
,Non-US-specific healthcare plans and program rebates,1 769,167,- 2 597,7,2 940,- 14,2 272
,"Non-healthcare plans and program-related rebates, returns and other deductions",1 845,67,- 11 137,- 51,11 094,113,1 931
Total 2020,5 595,234,- 19 294,- 151,19 773,99,6 256,6 256
2019,US-specific healthcare plans and program rebates,1 883,0,- 5 183,- 193,5 474,1 981,1 981
,Non-US-specific healthcare plans and program rebates,1 625,- 28,- 19,- 2,2 659,1,1 769
,"Non-healthcare plans and program-related rebates, returns and other deductions",1 754,- 166,9,- 11 698,- 25,103,1 845
Total 2019,5 262,- 194,- 10,- 19 348,- 220,20 001,104,5 595
