USD millions unless indicated otherwise,2021,2020,2021,2020,2021,2020,2021,2020
IFRS operating income from continuing operations,10 688,9 172,1 600,1 043,- 599,- 63,11 689,10 152
Amortization of intangible assets,3 528,2 999,236,366,3 764,3 365,,
Impairments,,,,,,,,
Intangible assets,360,759,27,141,387,900,,
"Property, plant and equipment related to the Group-wide rationalization of manufacturing sites",219,321,7,112,226,433,,
"Other property, plant and equipment",40,2,,,,,,
Total impairment charges,619,1 080,34,255,653,1 335,,
Acquisition or divestment of businesses and related items,,,,,,,,
- Income,-2,-5,-64,-73,-66,-78,,
- Expense,1,107,22,106,89,"107,218",,
"Total acquisition or divestment of businesses and related items, net",-1,102,22,42,16,"41,140",,
Other items,,,,,,,,
Divestment gains,-649,-348,-4,-27,-75,"-39,-728,-414",,
Financial assets - fair value adjustments,-43,-153,5,-183,-38,-336,,
Restructuring and related items,,,,,,,,
- Income,-32,-36,-36,-30,-6,"-28,-74,-94",,
- Expense,833,484,193,252,32,"35,1 058,771",,
Restructuring and related items    -32    -36    -36    -30    -6    -28    -74    -94,,,,,,,,
Expense                            833    484    193    252    32    35    1 058    771,,,,,,,,
Legal-related items,,,,,,,,
Income                              -11    -11    -11    -11    -11    -11    -11    -11,,,,,,,,
Expense                             170    555    53     406    -26    223    935,,,,,,,,
Additional income                   -139   -264   -1     -6     -138   -361   -278   -631,,,,,,,,
Additional expense                  241    54     53     48     86     289    193,,,,,,,,
Total other items                   381    292    194    648    -134   -516   441    424,,,,,,,,
Total adjustments                   4 527  4 473  464    1 291  -92    -500  4 899  5 264,,,,,,,,
Core operating income from continuing operations 15 215 13 645 2 064 2 334 -691  -563 16 588 15 416,,,,,,,,
as % of net sales                   36.2% 35.0% 21.4% 24.2% 32.1% 31.7%,,,,,,,,
Income from associated companies    5      1      2      2      15 332 670    15 339 673,,,,,,,,
Core operating income from continuing operations,15 215,13 645,2 064,2 334,− 691,− 563,16 588,15 416
as % of net sales,36.2%,35.0%,21.4%,24.2%,−,32.1%,31.7%,
Income from associated companies,5,1,2,2,15 332,670,15 339,673
"Core adjustments to income from associated companies, net of tax",− 14 346,424,− 14 346,424,,,,
Interest expense,− 811,− 869,,,,,,
Other financial income and expense,− 80,− 78,,,,,,
Core adjustments to other financial income and expense,39,− 5,,,,,,
"Income taxes, adjusted for above items (core income taxes)",− 2 635,− 2 403,,,,,,
Core net income,14 094,13 158,,,,,,
Core net income attributable to shareholders of Novartis AG,14 097,13 159,,,,,,
Core basic EPS (USD),6.29,5.78,,,,,,
Core basic EPS (USD)	6.29	5.78,,,,,,,,
