Vested shares and ADRs Unvested shares and other equity rights2 Total at December 31, 2021 Vested shares and ADRs Unvested shares and other equity rights2 Total at December 31, 2020
Vasant Narasimhan 170 111 218 826 388 937 104 277 253 770 358 047,,
James Bradner 43 744 110 808 154 552 69 551 124 998 194 549,,
Karen Hale (from May 15, 2021) 0 9 059 9 059 0 0 0,
Harry Kirsch 285 186 113 110 398 296 198 331 119 903 318 234,,
Robert Kowalski (from September 1, 2021) 0 37 562 37 562 0 0 0,
Steffen Lang 125 286 65 918 191 204 81 714 61 682 143 396,,
Klaus Moosmayer 8 312 34 732 43 044 6 011 21 977 27 988,,
Richard Saynor 0 33 713 33 713 0 23 324 23 324,,
Susanne Schaffert 116 173 87 801 203 974 106 981 76 392 183 373,,
John Tsai 23 382 87 461 110 843 17 783 61 877 79 660,,
Marie-France Tschudin 39 353 84 863 124 216 12 300 75 848 88 148,,
Robert Weltevreden 27 758 44 064 71 822 2 734 42 445 45 179,,
Total3 839 305 927 917 1 767 222 599 682 862 216 1 461 898,,
