"Year ended Dec 31, 2021","Year ended Dec 31, 2020",Change in USD %,Change in constant currencies %,Net sales from continuing operations
51626,48659,6,4,Other revenues
1251,1239,1,1,Cost of goods sold
-15867,-15121,-5,-3,Gross profit from continuing operations
37010,34777,6,5,"""Selling, general and administration"""
-9540,-8980,-6,-5,Research and development
-9540,,-6,-5,Other income
1852,1742,6,6,Other expense
-2747,-3190,14,14,Operating income from continuing operations
,,,,% of net sales to third parties
22.6,,20.9,,"Income from associated companies,"
15339,673,nm,nm,Interest expense
-811,-869,7,6,Other financial income and expense
-80,-78,-3,44,Income before taxes from continuing operations
26137,9878,165,163,Income taxes
-2119,-1807,-17,-17,Net income
24018,8071,198,195,Attributable to:
24021,8072,198,195,Shareholders of Novartis AG
-3,-1,-200,-200,"Non-controlling interests,"
,,,,Total basic earnings per share (USD)
10.71,3.55,202,200,Net cash flows from operating activities from continuing operations
15071,13650,10,,"Free cash flow,"
