Key indication,Key indication,Key indication,Rest of US world USD m,Rest of US world USD m,Rest of US world USD m
Brands,Business franchise,"Psoriasis,ankylosing spondylitis,",,USD m,USDm
,"Immunology, Hepatology",psoriatic arthritis and non-radiographic,,,
Cosentyx,and Dermatology,axial spondyloarthritis,2516,1479,3995
Gilenya,Neuroscience,Relapsing multiple sclerosis,1562,1441,3003
,"Cardiovascular, Renal",Chronic heart failure,1277,1220,
Entresto Tasigna,and Metabolism Hematology,Chronic myeloid leukemia,859,1099,2 497 1958
,,Age-related,,,
Lucentis,Ophthalmology,"macular degeneration Immune thrombocytopenia (ITP),",,1933,1933
Promacta/Revolade,Hematology,severe aplastic anemia (SAA) BRAF V600+ metastatic and adjuvant melanoma;,833,905,1738
Tafinlar + Mekinist,Solid Tumor,advanced non-small celi lung cancer (NSCLC),569,973,1542
Sandostatin,Solid Tumor,Carcinoid tumors and acromegaly,837,602,1439
Jakavi,Hematology,"Myelofibrosis (MF), polycythemia vera (PV)",,1339,
,,Severe allergic asthma (SAA),,,1339
Xolair1,Respiratory and Allergy,and chronic spontaneous urticaria (CSU)and nasal polyps,,1251,1251
Galvus Group,Established Medicines,Type 2 diabetes,,1199,1199
Gleevec/Glivec,,Chronic myeloid leukemia and GIST,,,
Afinitor/Votubia,Hematology,Breast cancer/TSC,315,873,1188
Diovan Group,Solid Tumor,Hypertension,644,439,1083
Exforge Group,Established Medicines,,124,879,1003
Zolgensma,Established Medicines,Hypertension Spinal muscular atrophy (SMA),16,964,980
,Neuroscience,"Auto-inflammatory (CAPS,",459,461,920
laris,"Immunology, Hepatology and Dermatology","TRAPS, HIDS/MKD, FMF, SJIA,AOSD and gout)",400,473,873
Kisqali,Solid Tumor,HR+/HER2- metastatic breast cancer,318,369,687
Exjade/Jadenu,Hematology,Chronic iron overload,138,515,653
Votrient,Solid Tumor,Renal cell carcinoma,259,376,635
Top 20 products total,,,11 126,18790,29916
Rest of portfolio,,,3216,5881,9097
Total division sales,,,14342,24 671,39013
