USD millions,Note,2021,2020,2019
Net income,,24018,8071,11737
Other comprehensive income,,,,
Items that are or may be recycled into the consolidated income statement,,,,
Fair value adjustments on debt securities, net of taxes,,8,"1,"
Fair value adjustments on deferred cash flow hedges, net of taxes,,8,"1,"
Total fair value adjustments on financial instruments, net of taxes,,2,
Novartis share of other comprehensive income recognized by associated companies, net of taxes,,4,"46,-56,-94,"
Net investment hedge, net of taxes,,8,"216,-201,44,"
Currency translation effects, net of taxes,,8,"-4762,3194,352,"
Total of items that are or may be recycled,,,-4500,"2937,304"
Items that will never be recycled,,,,
Actuarial gains/(losses) from defined benefit plans, net of taxes,,8,"1809,143,-467,"
Fair value adjustments on equity securities, net of taxes,,8,"194,250,-47,"
Total of items that will never be recycled,,2003,393,-514
Total comprehensive income,,21521,11401,11527
Attributable to:,,,,
Shareholders of Novartis AG,,21528,11403,11525
Continuing operations,,21528,11403,6948
Discontinued operations,,,-,4577
Non-controlling interests,,,-7,"-2,2"
