Change in USD %,Change in constant currencies %,Percentage point currency impact,Change in USD%,Change in constant currencies %,Percentage impact
2021,2021,2021,2020,2020,2020
Total Group,,,,,
Net sales to third parties from continuing operations,6,4,2,3,3
Operating income from continuing operations,15,13,2,12,19
Net income,198,195,3,13,20
Basic earnings per share (USD),202,200,2,14,21
Core operating income from continuing operations,8,6,2,9,13
Core net income,7,5,2,9,12
Core basic earnings per share (USD),9,7,2,9,13
Innovative Medicines,,,,,
Net sales to third parties,8,6,2,3,4
Operating income,17,15,2,-1,4
Core operating income,12,10,2,8,11
Sandoz,,,,,
Net sales to third parties,0,-2,2,-1,0
Operating income,53,48,5,89,106
Core operating income,-12,-14,2,11,15
Corporate,,,,,
Operating loss from continuing operations,nm,nm,nm,nm,nm
Core operating loss from continuing operations,-23,-20,-3,11,14
