Tassigna,Hematology,Chronic myeloid leukemia,859,1 099,1 958
Brands\tBusiness franchise\tKey indication\tUS USD m\tRest of world USD m\tTotal USD m,,,,,
Cosentyx\tImmunology,Hepatology and Dermatology\tPsoriasis,ankylosing spondylitis,psoriatic arthritis and non-radiographic axial spondyloarthritis\t2 516\t1 479\t3 995,,
Gilenya\tNeuroscience\tRelapsing multiple sclerosis\t1 562\t1 441\t3 003,,,,,
Entresto\tCardiovascular,Renal and Metabolism\tChronic heart failure\t1 277\t1 220\t2 497,,,,
Tasigna\tHematology\tChronic myeloid leukemia\t859\t1 099\t1 958,,,,,
Lucentis,Ophthalmology,Age-related macular degeneration,1 933,1 933,
Promacta/Revolade,Hematology,"Immune thrombocytopenia (ITP), severe aplastic anemia (SAA)",833,905,1 738
Tafinlar + Mekinist,Solid Tumor,BRAF V600+ metastatic and adjuvant melanoma; advanced non-small cell lung cancer (NSCLC),569,973,1 542
Sandostatin,Solid Tumor,Carcinoid tumors and acromegaly,837,602,1 439
Jakavi,Hematology,"Myelofibrosis (MF), polycythemia vera (PV)",1 339,1 339,
Jakavi\tHematology\tMyelofibrosis (MF),polycythemia vera (PV)\t1 339\t1 339,,,,
Xolair\tRespiratory and Allergy\tSevere allergic asthma (SAA) and chronic spontaneous urticaria (CSU) and nasal polyps\t1 251\t1 251,,,,,
Galvus Group\tEstablished Medicines\tType 2 diabetes\t1 199\t1 199,,,,,
Gleevec/Glivec\tHematology\tChronic myeloid leukemia and GIST\t315\t873\t1 188,,,,,
Afinitor/Votubia\tSolid Tumor\tBreast cancer/TSC\t644\t439\t1 083,,,,,
Diovan Group\tEstablished Medicines\tHypertension\t124\t879\t1 003,,,,,
Exforge Group\tEstablished Medicines\tHypertension\t16\t964\t980,,,,,
Zolgensma\tNeuroscience\tSpinal muscular atrophy (SMA)\t459\t461\t920,,,,,
Exerige Group\tEstablished Medicines\tHypertension\tSpinal muscular atrophy (SMA)\tAuto-inflammatory (CAPS,TRAPS,HIDS/MKD,FMF,SJIA,AOSD and gout)\tHR+/HER2-\nZolgensma\tNeuroscience\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t
Total division sales	14 342	24 671	39 013,,,,,
