,Fixed compensation and pension benefits,Fixed compensation and pension benefits,Variable compensation,Variable compensation,,,
,Actual compensation paid or granted for 2020,Actual compensation paid or granted for 2020,Actual compensation paid or granted for 2020,Long-Term Incentive 2020-2022 cycle grantsattarget,Long-Term Incentive 2020-2022 cycle grantsattarget,,
,2020 annualbase 2020 pension salary,benefits,2020 Annual Incentive (performance achieved),LTPP 2020-2022 cycle,Other 2020 compensation,Total compensation paid.promised or granted 2020,
,Cash (amount),Amount1,Cash (amount),Equity (valueat grantdate)2,PSUs (target value at grantdate)3,Amount4 Amount5,
,"Currency Executive Committee members active on December 31,2020",,,,,,
Vasant Narasimhan,CHF,1743750,175102 1318275,1318 275,5712549,113 841,10381793
Steven Baert,CHF,798 617,167294 480000,480022,1679265,85587,3690785
Bertrand Bodson,CHF,634834,177088,256000 256052,1152115,131745,2 607834
James Bradner6,USD,1203654,373063,768900 768963,2911862,88472,6114914
Harry Kirsch,CHF,1063433,171930,585750,585814 2769330,50294,5226 551
Shannon Thyme Klinger,CHF,862500,182852,525000,525005 1925 517,32773,4053647
Steffen Lang,CHF,758333,171130,228000,684038 1367619,12918,3222037
Klaus Moosmayer,CHF,520833,184884,241500,241516 840004,29496,2058233
Richard Saynor,CHF,778333,190372,390000,390055 1482060,1737100,4967920
Susanne Schaffert,CHF,871250,173111,341445,796797 2013669,581188,4777460
John Tsai,CHF,868333,182517,478500,478560 2175855,104669,4288434
Marie-France Tschudin,CHF,871250,182216,437750,437791 2013669,,3942 677
Robert Weltevreden,CHF,634834,186392,215040,399430 1152115,2925,2590735
Total,,11536583,2 495208,6219 290,7315 444 27 018132,2965615,57550 273
