Number of outstanding shares (in millions),Equity attributable to Novartis AG shareholders,2021 USD millions,2020 USD millions
Balance at beginning of year,2 256.8,2 265.0,"56 598,55 474"
Shares acquired to be canceled,-30.7,-32.6,"-2 775,-2 897"
Other share purchases,-1.5,-1.7,"-145,-159"
Exercise of options and employee transactions,0.6,14.7,"39,806"
Repurchase of options,-,-,"-89,-"
Equity-based compensation,9.6,11.0,"745,730"
Shares delivered to Alcon employees as a result of the Alcon spin-off,0.1,0.4,"17,30"
Taxes on treasury share transactions,1,32,"1,32"
Increase of treasury share repurchase obligation under a share buyback trading plan,-,-1 040,-1 769
Transaction costs, net of taxes,12,"-,-,-"
Dividends,-,-7 368,-6 987
Net income of the year attributable to shareholders of Novartis AG,24 021,8 072,"-,-"
Other comprehensive income attributable to shareholders of Novartis AG,-,2 493,"3 331,-"
Impact of change in ownership of consolidated entities,-,-5,"6,-"
Other movements 1,48,18,"-,-"
Balance at end of year,2 234.9,2 256.8,"67 655,56 598"
