USD millions,2021,2020
Net cash flows from operating activities from continuing operations,15 071,13 650
Net cash flows from/used in investing activities from continuing operations,4 208,-13 055
Net cash flows used in investing activities from discontinued operations,,-127
Net cash flows used in financing activities from continuing operations,-16 264,-2 158
Net cash flows used in financing activities from discontinued operations,,-50
Effect of exchange rate changes on cash and cash equivalents,-266,286
"Change in marketable securities, commodities,time deposits and derivative financial instruments",14 017,1 571
Change in current and non-current financial debts and derivative financial instruments,6 847,-8 660
Change in net debt,23 613,-8 543
Net debt at January 1,-24 481,-15 938
Net debt at December 31,-868,-24 481
