,Currency (milions),Nominal amount,Issuance,Maturity Issuer,,,2021 (USD,2020 (USD
Coupon 2.400%,USD,1500,year 2012,year 2022,"Novartis Capital Corporation,New York, United States",Issue price 99.225%,millions) 1498,millions) 1497
3.700%,USD,500,2012,2042,"Novartis Capital Corporation,New York,United States",98.325%,490,490
3.400%,USD,2150,2014,2024,"Novartis Capital Corporation,New York,UnitedStates",99.287%,2 144,2142
4.400%,USD,1850,2014,2044,"Novartis Capital Corporation,New York,UnitedStates",99.196%,1826,1826
0.750%,EUR,600,2014,2021,"Novartis Finance S.A.,Luxembourg,Luxembourg",99.134%,,737
1.625%,EUR,600,2014,2026,"Novartis Finance S.A.,Luxembourg,Luxembourg",99.697%,676,735
0.250%,CHF,500,2015,2025,"Novartis AG,Basel,Switzerland",100.640%,547,568
0.625%,CHF,550,2015,2029,"NovartisAG,Basel,Switerlad",100.502%,602,625
1.050%,CHF,325,2015,2035,"Novartis AG,Basel,Switzerland",100.479%,356,369
3.000%,USD,1750,2015,2025,"Novartis Capital Corporation, New York, United States",99.010%,1740,1737
4.000%,USD,1250,2015,2045,"Novartis Capital Corporation, New York,United States",98.029%,1220,1220
0.125%,EUR,1250,2016,2023,"Novartis Finance S.A.,Luxembourg,Luxembourg",99.127%,1409,1530
0.625%,EUR,500,2016,2028,"Novartis Finance S.A.,Luxembourg,Luxembourg",98.480%,559,607
2.400%,USD,1000,2017,2022,"Novartis Capital Corporation,New York, United States",99.449%,1000,998
3.100%,USD,1000,2017,2027,"Novartis Capital Corporation, New York, United States",99.109%,993,992
0.000%,EUR,1250,2017,2021,"Novartis Finance S.A.,Luxembourg,Luxembourg",99.133%,,1536
1.125%,EUR,600,2017,2027,"Novartis Finance S.A.,Luxembourg,Luxembourg",99.874%,677,735
0.500%,EUR,750,2018,2023,"Novartis Finance S.A., Luxembourg,Luxembourg",99.655%,846,919
1.375%,EUR,750,2018,2030,"Novartis Finance S.A.,Luxembourg, Luxembourg",99.957%,846,920
1.700%,EUR,750,2018,2038,"Novartis Finance S.A.,Luxembourg,Luxembourg",99.217%,840,913
1.750%,USD,1000,2020,2025,"Novartis Capital Corporation, New York, United States",99.852%,998,996
2.000%,USD,1250,2020,2027,"Novartis Capital Corporation,New York,United States",99.909%,1246,1245
2.200%,USD,1500,2020,2030,"Novartis Capital Corporation,New York, United States",99.869%,1493,1493
2.750%,USD,1250,2020,2050,"Novartis Capital Corporation,New York, United States",97.712%,1214,1213
0.000%1,EUR,1850,2020,2028,"Novartis Finance S.A.,Luxembourg,Luxembourg",99.354%,2076,2255
Total straight bonds,Total straight bonds,Total straight bonds,Total straight bonds,Total straight bonds,Total straight bonds,Total straight bonds,Total straight bonds,25 29628298
