,Change (2020 to,Change (2020 to,Change (2020 to,Change (2019 to,Change (2019 to
,2021 USDm,2020 USDm,2021) USD %,20192020) USDm,USD%
Hematology,,,,,
Tasigna,2060,1958,5,1880,4
Promacta/Revolade,2016,1738,16,1416,23
Jakavi,1595,1339,19,1114,20
Gleevec/Glivec,1024,1188,-14,1263,-6
Kymriah,587,474,24,278,71
Exjade/Jadenu,563,653,-14,975,-33
Adakveo,164,105,56,1,nm
Other,354,327,8,306,7
Total Hematology,8363,7782,7,7233,8
Solid Tumor,,,,,
Tafinlar + Mekinist,1693,1542,10,1338,15
Sandostatin,1413,1439,-2,1585,-9
Afinitor/Votubia,938,1083,-13,1539,-30
Kisqali,937,687,36,480,43
Votrient,577,635,-9,755,-16
Lutathera,475,445,7,441,1
Piqray,329,320,3,116,176
Tabrecta,90,35,157,,nm
Other,661,743,-11,883,-16
Total Solid Tumor,7113,6929,3,7137,-3
Total Novartis Oncology,,,,,
business unit,15 476,14 711,5,14370,2
"Immunology, Hepatology and Dermatology",,,,,
Cosentyx,4718,3995,18,3551,13
llaris,1059,873,21,671,30
"Total Immunology, Hepatology and",,,,,
Dermatology,5777,4 868,19,4 222,15
Neuroscience,,,,,
Gilenya,2787,3003,-7,3223,-7
Zolgensma,1351,920,47,361,155
Kesimpta,372,15,nm,,nm
Mayzent,281,170,65,26,nm
Aimovig,215,164,31,103,59
Other,46,51,-10,60,-15
Total Neuroscience,5052,4323,17,3773,15
Ophthalmology,,,,,
Lucentis,2160,1933,12,2086,-7
Xiidra,468,376,24,192,96
Beovu,186,190,-2,35,nm
Other,,,,,
Total Ophthalmology,1516 4330,1911 4410,-21 -2,2463 4776,-22 -8
