Total,Less than 1 year,2-3 years,4-5 years,After 5 years
Non-current financial debt, including current portion,25 523,2 621,"4 486,3 977,14 439"
Interest on non-current financial debt, including current portion,6 063,527,"913,715,3 908"
Lease liabilities, non-current and current portion,1 896,275,"378,261,982"
Interest on lease liabilities, non-current and current portion,1 453,49,"78,65,1 261"
Commitments for leases not yet commenced,134,2,10,"22,100"
Unfunded pensions and other post-employment benefit plans,1 614,110,214,"207,1 083"
Research and development potential milestone commitments,6 743,602,1 560,"742,3 839"
Contingent consideration liabilities,1 075,119,304,"213,439"
Property, plant and equipment purchase commitments,204,159,"41,1,3"
Acquisition of business commitments on transaction entered into but not closed in 2021^1,1 500,800,300,"400,"
Total contractual cash obligations,46 205,5 264,8 284,"6 203,26 454"
