,Fair value adjustments on financial Note instruments,Actuarial gains/(losses) from defined benefit plans,Cumulative currency translation,adjustments attributable to Novartis AG,controlling,Non- Total value
"Value adjustments at December 31,2018",227,-5423,effects 744,shareholders -4452,interest -26,adjustments -4 478
Fair value adjustments on deferred cash flow hedges,,,,1,,1
Fair value adjustments on debt securities,,,,1,,1
"Fair value adjustments on equity securities,",,,,,,
net of taxes of USD47 million1,-47,,,-47,,-47
"Net investment hedge Defined benefit plans, net of taxes",,,44,44,,44
of USD-313million2,,-466,,-466,-1,-467
"Currency translation effects, net of taxes of USD 2 million",,,354,354,-2,352
Total value adjustments in 2019,-45,-466,398,-113,-3,-116
"Fair value adjustments on equity securities sold,reclassified to retained earnings",-95,,,-95,,-95
Fair value adjustments related to divestments,33,-30,,3,,3
"Value adjustments at December 31,2019",120,-5919,1142,-4 657,-29,-4 686
"Fair value adjustments on equity securities, net of taxes of USD-36 million'",250,,,,,
Net investment hedge,,,-201,250 -201,,250 -201
"Defined benefit plans,net of taxes of USD -3 million",,145,,145,-2,143
"Currency translation effects, net of taxes of USD 10 million",,,,,,
Total value adjustments in 2020,250,145,3193 2 992,3193 3387,1 -1,3194
Fair value adjustments on equity securities,,,,,,3386
"sold,reclassified to retained earnings Fair value adjustments related to divestments",-150,,,-150,,-150
Impact of change in ownership of consolidated entities,,2,,2,,2
"Value adjustments at December 31,2020",220,-1,,-1,1,
"Fair value adjustments on equity securities,",,-5773,4134,-1419,-29,-1448
"net of taxes of USD-44 million Net investment hedge, net of taxes",194,,,194,,194
of USD 33 million,,,216,216,,216
"Defined benefit plans,netof taxes of USD -323 million",,1808,,1808,1,1809
"Currency translation effects, net of taxes of USD 17 million",,,,,,
Total value adjustments in 2021,194,,-4757,-4757,-5,-4762
Fair value adjustments on equity securities,,1808,- 4 541,-2539,-4,-2543
"sold,reclassified to retained earnings",,,,,,
net of taxes of USD 48 million,-164,,,-164,,-164
,-62,,,,,
Fair value adjustments related to divestments,,,-3,,,
"Value adjustments at December 31,2021",,-3968,-407,-65 -4187,-33,-65
