As at December 31, 2021,Share capital^1,Equity interest,France
"Novartis Groupe France S.A., Rueil-Malmaison",903.0 m,100%,France,
"Novartis Pharma S.A.S., Rueil-Malmaison",43.4 m,100%,France,
"Advanced Accelerator Applications S.A., Saint-Genis-Pouilly",9.6 m,99.23%,France,
"CELLforCURE, Les Ulis",4.2 m,100%,France,
"Sandoz S.A.S., Levallois-Perret",5.4 m,100%,France,
Germany,,,,
"Novartis Deutschland GmbH, Nuremberg",155.5 m,100%,Germany,
"Novartis Business Services GmbH, Wehr",25 000,100%,Germany,
"Novartis Pharma GmbH, Nuremberg",25.6 m,100%,Germany,
"Novartis Pharma Produktions GmbH, Wehr",2.0 m,100%,Germany,
"Sandoz International GmbH, Holzkirchen",100 000,100%,Germany,
"1 A Pharma GmbH, Oberhaching",26 000,100%,Germany,
"HEXAL AG, Holzkirchen",93.7 m,100%,Germany,
"Salutas Pharma GmbH, Barleben",42.1 m,100%,Germany,
"Aeropharm GmbH, Rudolstadt",26 000,100%,Germany,
Greece,,,,
"Novartis (Hellas) S.A.C.I., Metamorphosis / Athens",233.9 m,100%,Greece,
Hungary,,,,
"Novartis Hungary Healthcare Limited Liability Company, Budapest",545.6 m,100%,Hungary,
"Sandoz Hungary Limited Liability Company, Budapest",883.0 m,100%,Hungary,
India,,,,
"Novartis India Limited, Mumbai",123.5 m,70.68%,India,
"Novartis Healthcare Private Limited, Mumbai",60.0 m,100%,India,
"Sandoz Private Limited, Mumbai",32.0 m,100%,India,
Indonesia,,,,
"PT. Novartis Indonesia, Jakarta",7.7 bn,100%,Indonesia,
Ireland,,,,
"Novartis Ireland Limited, Dublin",25 000,100%,Ireland,
"Novartis Integrated Services Limited, Cork City",100,100%,Ireland,
"Novartis Ringaskiddy Limited, Ringaskiddy, County Cork",2.0 m,100%,Ireland,
"Novartis Gene Therapies EU Limited, Dublin",100,100%,Ireland,
Israel,,,,
"Novartis Israel Ltd., Tel Aviv",1 000,100%,Israel,
Italy,,,,
"Novartis Farma S.p.A., Origgio",18.2 m,100%,Italy,
"Advanced Accelerator Applications (Italy) S.r.l., Pozzilli",119 000,99.23%,Italy,
"Sandoz S.p.A., Origgio",1.7 m,100%,Italy,
Japan,,,,
"Novartis Pharma K.K., Tokyo",100.0 m,100%,Japan,
"Ciba-Geigy Japan Limited, Tokyo",100.0 m,100%,Japan,
"Sandoz K.K., Tokyo",100.0 m,100%,Japan,
Sandoz Pharma K.K. Tokyo,100.0 m,100%,Japan,
Latvia,,,,
"Novartis Baltics SIA, Riga",3.0 m,100%,Latvia,
Luxembourg,,,,
"Novartis Investments S.à r.l., Luxembourg City^2",100.0 m,100%,Luxembourg,
"Novartis Finance S.A., Luxembourg City",100 000,100%,Luxembourg,
Malaysia,,,,
"Novartis Corporation (Malaysia) Sdn. Bhd., Petaling Jaya",3.3 m,100%,Malaysia,
Mexico,,,,
"Novartis Farmacéutica, S.A. de C.V., Mexico City",205.0 m,100%,Mexico,
"Sandoz, S.A. de C.V., Mexico City",468.2 m,100%,Mexico,
Morocco,,,,
"Novartis Pharma Maroc SA, Casablanca",80.0 m,100%,Morocco,
Netherlands,,,,
"Novartis Netherlands B.V., Amsterdam",1.4 m,100%,Netherlands,
"Novartis Pharma B.V., Amsterdam",4.5 m,100%,Netherlands,
"IDB Holland BV, Baarle-Nassau",18 000,99.23%,Netherlands,
"Sandoz B.V., Almere",907 560,100%,Netherlands,
New Zealand,,,,
"Novartis New Zealand Ltd, Auckland",820 000,100%,New Zealand,
