"Year ended Dec 31, 2021","Year ended Dec 31, 2020",Change in USD %,Change in constant currencies %,(USD millions)
Total Novartis Oncology business unit,15476,14711,5,4
Hematology,8363,7782,7,6
Solid Tumor,7113,6929,3,2
Total Novartis Pharmaceuticals business unit,26519,24302,9,7
"Immunology, Hepatology and Dermatology",5777,4868,19,18
Neuroscience,5052,4323,17,15
Ophthalmology,4330,4410,-2,-4
"Cardiovascular, Renal and Metabolism",3560,2498,43,40
Respiratory and Allergy,2065,1900,9,6
Established Medicines,5735,6303,-9,-10
Total Innovative Medicines,41995,39013,8,6
