(USD millions),Non-current financial debts,Current financial debts and derivative financial instruments,Non-current lease liabilities,Current lease liabilities
"January 1, 2021",26 259,9 785,1 719,286
Increase in non-current financial debts,16,,,
Repayments of non-current financial debts,-2 162,,,
Change in current financial debts,,-3 524,,
"Payments of lease liabilities, net",,,-316,-316
Interest payments for amounts included in lease liabilities classified as cash flows from operating activities,,,,-52
"New, modified and terminated leases, net",,61,192,61
Impact of acquisitions of businesses,,1,,
"Changes in fair values, lease interest and other changes, net",-124,,,62
Amortization of bonds discount,25,4,,
Currency translation effects,-774,-309,-43,-13
"Reclassification from non-current to current, net",-2 624,2 624,-247,247
"December 31, 2021",22 902,6 295,1 621,275
