,Innovative Medicines,Innovative Medicines,Sandoz,Sandoz,Corporate (including eliminations),Corporate (including eliminations),Group,Group
(USD millions),2021,2020,2021,2020,2021,2020,2021,2020
Total assets 1,79 220,83112,16192,16825,36383,27841,131795,127 778
Total liabilities 1,-15 929-15 472,,-3632,-3786-44412,,-51854,-63973,-71 112
Total equity,,,,,,,67 822,56 666
Net debt²,,,,,868,24481,868,24481
Net operating assets,63291,67 640,12 560,13039,-7161,468,68 690,81147
Included in assets and liabilities are:,,,,,,,,
"Total property,plant and equipment Additions to property,plant",9168,9863,1901,1849,476,551,11545,12 263
and equipment3,991,926,349,229,90,110,1430,1265
Total right-of-use assets,1349,1489,104,133,108,54,1561,1676
Additions to right-of-use assets,222,264,26,67,73,15,321,346
Total goodwill and intangible assets Additions to goodwill and,53919,56839,9603,9817,255,152,63 777,66808
intangible assets3,1491,1235,102,105,143,85,1736,1425
Total investment in associated companies,170,194,7,8,28,9430,205,9632
"Additions to investment in associated companies Cash and cash equivalents, marketable securities,",24,24,,,19,7,43,31
"commodities,time deposits and derivative financial instruments",,,,,28329,11 563,28329,11 563
Financial debts and derivative financial instruments,,,,,29197,36044,29197,36044
Current income tax and deferred tax liabilities 1,,,,,5485,5599,5485,5599
