Reserves,Reserves,Reserves,Reserves,Reserves,Reserves,Equity attributable,Non- controlling interests,Total equity,
(USD millions),Note,Share capital,Treasury shares,Retained,Total value earningsadjustments shareholders,Equity attributable,Non- controlling interests,Total equity,to Novartis
"TotalequityatDecember31018,as",,944,-69,82 191,-4452,78 614,78,78 692,
previouslyreported,,,,3,,3,,3,
"Impact of change in accounting policies RestatedequityatJanuary1,2019",,944,-69,82194,-4452,78617,78,78 695,
Net income,,,,11732,,11732,5,11737,
Othercomprehensiveincome,8,,,-94,-113,-207,-3,-210,
Total comprehensive income,,,,11638,-113,11525,2,11527,
Dividends,18.1,,,-6645,,-6645,,-6645,
Dividendinkind toeffect the,2,,,- 23434,,-23434,,-23434,
spin-off of Alcon Inc. Purchase of treasury shares,18.2,,-31,-5480,,-5511,,-5511,
Reduction of share capital,18,-8,12,-4,,,,,
Exercise of options and employee transactions,18.2,,3,207,,210,,210,
Equity-based compensation,18.2,,5,828,,833,,833,
Sharesdelivered to Alconemployees asaresult of the Alcon spin-off,18.2,,,18,,18,,18,
Taxes on treasury share transactions,,,,-189,,-189,,-189,
Decrease of treasury share repurchase,,,,284,,,,,
obligationunderasharebuyback tradingplan,18.3 18.8,,,-253,,284 -253,,284,
"Transaction costs,net of taxes",8,,,95,-95,,,-253,
Fair valueadjustments onfinancial assets sold,,,,-3,,-3,-2,-5,
Impact of change in ownership of consolidated entities 18.5,18.6,,,,,,-1,,
Changes innon-controlling interests Fair value adjustments related to divestments,8,,,-3,3,,,-1,
Other movements,18.7,,,22,,22,,22,
Totalof otherequitymovements,,-8,-11,-34557,-92,-34668,-3,-34 671,
TotalequityatDecember312019,,936,-80,59275,-4657,55474,77,55551,
Net income,,,,8072,,8072,-1,8071,
Other comprehensiveincome,8,,,-56,3387,3331,-1,3330,
Totalcomprehensiveincome,18.1,,,8016,3387,11403,-2,11401,
Dividends Purchase of treasury shares,18.2,,-18,-6987 -3038,,-6987 -3056,,-6987,
Reduction of share capital,18,-23,31,-8,,,,-3056,
Exercise of options and employee transactions,18.2,,8,798,,806,,806,
Repurchase of options,18.4,,,-89,,-89,,-89,
Equity-based compensation,18.2,,6,724,,730,,730,
SharesdeliveredtoAlconemployees,18.2,,0,30,,30,,,
asaresult of theAlconspin-off Taxes on treasury share transactions,,,,32,,32,,30 32,
Increase of treasury share repurchase,18.3,,,-1769,,,,,
obligation underashare buyback trading plan Fair value adjustments on financial assets sold,8,,,150,-150,-1769,,-1769,
Fair value adjustments related to divestments,8,,,-2,2,,,,
Impact of change in ownership of consolidated entities 18.5,,,,7,-1,6,-7,-1,
Other movements,18.7,,,18,,18,,18,
Totalof otherequitymovements,,-23,27,-10134,-149,-10279,-7,-10286,
TotalequityatDecember312020,,913,-53,57157,-1419,56598,68,56 666,
Net income,,,,24021,,24021,-3,24018,
Other comprehensiveincome Totalcomprehensiveincome,8,,,46,-2539,-2493,-4,-2497,
Dividends Purchase of treasury shares,18.1,,,24067 -7368,-2539,21528 -7368,-7,21521 -7368,
