Year ended Dec 31, 2021,Year ended Dec 31, 2020,Change in USD %,Change in constant currencies %,(USD millions)
Total Novartis Oncology business unit,15 476,14 711,5,4,,
Hematology,8 363,7 782,7,6,,
Solid Tumor,7 113,6 929,3,2,,
Total Novartis Pharmaceuticals business unit,26 519,24 302,9,7,,
Immunology, Hepatology and Dermatology,5 777,4 868,19,18,
Neuroscience,5 052,4 323,17,15,,
Ophthalmology,4 330,4 410,- 2,- 4,,
Cardiovascular, Renal and Metabolism,3 560,2 498,43,40,
Respiratory and Allergy,2 065,1 900,9,6,,
Established Medicines,5 735,6 303,- 9,- 10,,
Total Innovative Medicines,41 995,39 013,8,6,,
