USD millions,2021,2020,2021,2020,2021,2020,2021,2020
Total assets,79 220,83 112,16 192,16 825,36 383,27 841,131 795,127 778
Total liabilities,-15 929,-15 472,-3 632,-3 786,-44 412,-51 854,-63 973,-71 112
Total equity,67 822,56 666,,,,,,
Net debt,868,24 481,868,24 481,,,,
Net operating assets,63 291,67 640,12 560,13 039,468,68 690,81 147,
"Total property, plant and equipment",9 168,9 863,1 901,1 849,476,551,11 545,12 263
"Additions to property, plant and equipment",991,926,349,229,90,110,1 430,1 265
Total right-of-use assets,1 349,1 489,104,133,108,54,1 561,1 676
Additions to right-of-use assets,222,264,26,67,73,15,321,346
Total goodwill and intangible assets,53 919,56 839,9 603,9 817,255,152,63 777,66 808
Additions to goodwill and intangible assets,1 491,1 235,102,105,143,85,1 736,1 425
Total investment in associated companies,170,194,7,8,28,9 430,205,9 632
Additions to investment in associated companies,24,24,,,19,7,43,31
"Cash and cash equivalents, marketable securities, commodities, time deposits and derivative financial instruments",28 329,11 563,28 329,11 563,,,,
Financial debts and derivative financial instruments,29 197,36 044,29 197,36 044,,,,
Current income tax and deferred tax liabilities,5 485,5 599,5 485,5 599,,,,
