Innovative Medicines,2021 USD m,2020 USD m,Change (2020 to 2021) USD %,2019 USD m,Change (2019 to 2020) USD %
Europe,14919,13484,11,12818,5
US,14999,14342,5,13789,4
Asia/Africa/Australasia,9304,8718,7,8458,3
Canada and Latin America,2773,2469,12,2649,-7
Total,41995,39013,8,37714,3
Of which in Established Markets,31459,29643,6,28573,4
Of which in Emerging Growth Markets,10536,9370,12,9141,3
Sandoz,Europe,5278,5231,1,"5115,2"
US,1819,2142,-15,2491,-14
Asia/Africa/Australasia,1662,1501,11,1341,12
Canada and Latin America,872,772,13,784,-2
Total,9631,9646,0,9731,-1
Of which in Established Markets,6855,7089,-3,7111,0
Of which in Emerging Growth Markets,2776,2557,9,2620,-2
Group,Europe,20197,18715,8,"17933,4"
US,16818,16484,2,16280,1
Asia/Africa/Australasia,10966,10219,7,9799,4
Canada and Latin America,3645,3241,12,3433,-6
Total,51626,48659,6,47445,3
Of which in Established Markets,38314,36732,4,35684,3
Of which in Emerging Growth Markets,13312,11927,12,11761,1
