Name,Product,Indication,Field,Delivery,Year,Regulation
Compound/product\tCommon name\tMechanism of action\tPotential indication\tBusiness franchise\tFormulation/route of administration\tYear project entered current development phase\tPlanned filing dates/current phase,,,,,,
ABL001\tasciminib\tBCR-ABL inhibitor\tChronic myeloid leukemia,3rd line\tHematology\tOral\t2021\tUS approved EU registration,,,,,
ABL001\tasciminib\tBCR-ABL inhibitor\tChronic myeloid leukemia,1st line\tHematology\tOral\t2021\t2025/III,,,,,
ACZ885\tcanakinumab\tIL-1 beta inhibitor\tNon-small cell lung cancer,adjuvant\tSolid Tumor\tSubcutaneous injection\t2018\t2023/III,,,,,
AVXS-101\tonasemnogene abeparvovec\tSurvival motor neuron (SMN) gene therapy\tSpinal muscular atrophy (IT formulation)\tNeuroscience\tIntrathecal injection\t2021\t2025/III,,,,,,
Beovu\tbrolucizumab\tVEGF inhibitor\tDiabetic macular edema\tOphthalmology\tIntravitreal injection\t2021\tUS/EU registration,,,,,,
Beovu\tbrolucizumab\tVEGF inhibitor\tDiabetic retinopathy\tOphthalmology\tIntravitreal injection\t2020\t2025/III,,,,,,
Beovu,brolucizumab VEGF inhibitor,Diabetic macular edema,Ophthalmology,Intravitreal injection,2021,US/EU registration
,,Diabetic retinopathy,Ophthalmology,Intravitreal injection,2020,2025/III
BYL719,alpelisib PI3K-alpha inhibitor,PIK3CA-related overgrowth spectrum,Solid Tumor,Oral,2021,US registration
,,Triple negative breast cancer,Solid Tumor,Oral,2020,2023/III
,,Human epidermal growth factor receptor 2-positive (HER2+) advanced breast cancer,Solid Tumor,Oral,2020,2025/III
,,Ovarian cancer,Solid Tumor,Oral,2021,2023/III
CFZ533,iscalimab CD40 inhibitor,Liver transplantation,"Immunology, Hepatology and Dermatology",Intravenous infusion,2019,≥2026/II
,,Sjögren's syndrome,"Immunology, Hepatology and Dermatology",Subcutaneous injection,2019,≥2026/II
Sjögren's syndrome,"Malaria, uncomplicated (<5 kg patients)","Immunology, Hepatology and Dermatology",Subcutaneous injection,2019,≥2026/II,
Coartem,artemether + PGH-1 lumefantrine,Established Medicines,Oral,2020,2024/III,
Cosentyx,secukinumab IL-17A inhibitor,Ankylosing spondylitis head-to-head study versus Sandoz biosimilar Hyrimoz (adalimumab),"Immunology, Hepatology and Dermatology",Subcutaneous injection,"2017,2022/III",
Cosentyx,secukinumab IL-17A inhibitor,Hidradenitis suppurativa,"Immunology, Hepatology and Dermatology",Subcutaneous injection,"2019,2022/III",
Cosentyx,secukinumab IL-17A inhibitor,Giant cell arteritis,"Immunology, Hepatology and Dermatology",Subcutaneous injection,"2021,2024/III",
Cosentyx,secukinumab IL-17A inhibitor,Lichen planus,"Immunology, Hepatology and Dermatology",Subcutaneous injection,"2020,2025/II",
Dermatology,Lichen planus,"Immunology, Hepatology and Dermatology",Subcutaneous injection,2020,2025/II,
Dermatology,Lupus nephritis,"Immunology, Hepatology and Dermatology",Subcutaneous injection,2020,≥2026/III,
Dermatology,Psoriatic arthritis (IV formulation),"Immunology, Hepatology and Dermatology",Intravenous infusion,2019,2022/III,
Dermatology,Ankylosing spondylitis (IV formulation),"Immunology, Hepatology and Dermatology",Intravenous infusion,2019,2023/III,
CSJ117,TBD,TSLP inhibitor,Asthma,Respiratory and Allergy,"Inhalation,2020,≥2026/II",
CSJ117    TBD    TSLP inhibitor    Asthma,,,,,,
Respiratory and    Inhalation    2020    ≥2026/II,,,,,,
Allergy,,,,,,
