,Ordinary shares,% of respective share capital held as of:,% of respective share capital held as of:,% of respective share capital held as of:
,held as of,,,
,"Dec 31,2021","Dec 31,2021 Dec 31,2020 Dec 31,2019",,
Shareholders registered as nominees:,,,,
"Chase Nominees Ltd., London, England",213 861 528,8.8,9.6,10.4
"The Bank of New York Mellon, New York,NY",72 781 460,3.0,3.4,3.8
"Through The Bank of New York Mellon, Everett,MA",38 915 733,1.6,1.7,2.0
"Through The Bank of New York Mellon,New York, NY",25 990 663,1.1,1.2,1.2
"Through The Bank of New York Mellon,SA/NV, Brussels,Belgium",7875 064,0.3,0.5,0.6
"Nortrust Nominees Ltd., London, England",102 224 686,4.2,4.2,3.9
Shareholder acting as American Depositary Share (ADS) depositary:,,,,
"JPMorgan Chase Bank, N.A., New York, NY",269 889 074,11.1,11.7,12.5
