,,2020,2020,2020,
,,Financial instruments at,,Financial,
,,Financial,instruments at fair value,fair value through the,
,,instruments at amortized comprehensive,through other,consolidated,Other
,Note,costs,,income,financial
(USD millions),,,income,statement,liabilities
Cash and cash equivalents,16,9658,,,
Time deposits and short-term investments with original maturity more than 90 days,16,1609,,,
Trade receivables,15,8217,,,
Other receivables and current assets,17,963,,,
Marketable securities-debt securities,16,,26,,
Long-term financial investments -equity securities,13,,1111,466,
Long-term financial investments - debt securities Long-term financial investments - fund investments,13,,36,,
"Long-term loans,advances,security deposits and other long-term receivables",13,,,366,
Associated companies at fair value through profit and loss,13,297,,,
,,,,211,
Derivative financial instruments,16,,,159,
Contingent consideration receivables,13,,,625,
Total financial assets,,20744,1173,1827,
Interest-bearing accounts of employees payable on demand,,,,,
,21,2085,,,
Bank and other short-term financial debt,21,976,,,
Commercial paper Straight bonds,21,4258,,,
,19,28298,,,
Long-term liabilities to banks and other financial institutions Trade payables,19,233,,,
Commitment for repurchase of own shares,,5403,,,
Contingent consideration liabilities (see Note20/22)and other financial liabilities,18/22,1769,,,
,,,,1069,
Derivative financial instruments,21,,,194,
Lease liabilities,10,,,,2005
Total financial liabilities,,43022,,1263,2005
