USD millions,2021,2020,2019
"Depreciation, amortization and impairments on:",,,
"Property, plant and equipment",1489,1758,1 547
Right-of-use assets,318,330,305
Intangible assets,4306,4376,3974
Financial assets,-38,-335,-38
Change in provisions and other non-current liabilities,896,1411,1871
"Gains on disposal and other adjustments on property, plant and equipment; intangible assets; financial assets; and other non-current assets, net",-677,-478,-1 234
Equity-settled compensation expense,736,738,758
Income from associated companies,-15 339,-673,-659
Income taxes,2119,1807,1793
Net financial expense,891,947,805
Total,-5 299,9 881,9 122
