2021 USD m,2020 USD m,Change (2020 to 2021) USD %,Change (2019 to 2020) USD %
Hematology,Tasigna,2 060,"1 958,5,4"
Hematology,Promacta/Revolade,2 016,"1 738,16,23"
Hematology,Jakavi,1 595,"1 339,19,20"
Hematology,Gleevec/Glivec,1 024,"1 188,-14,-6"
Hematology,Kymriah,587,"474,24,71"
Hematology,Exjade/Jadenu,563,"653,-14,-33"
Hematology,Adakveo,164,"105,56,nm"
Hematology,Other,354,"327,8,7"
Total Hematology,8 363,7 782,"7,8"
Solid Tumor,Tafinlar + Mekinist,1 693,"1 542,10,15"
Solid Tumor,Sandostatin,1 413,"1 439,-2,-9"
Solid Tumor,Afinitor/Votubia,938,"1 083,-13,-30"
Solid Tumor,Kisqali,937,"687,36,43"
Solid Tumor,Votrient,577,"635,-9,-16"
Solid Tumor,Lutathera,475,"445,7,1"
Solid Tumor,Piqray,329,"320,3,176"
Solid Tumor,Tabrecta,90,"35,157,nm"
Solid Tumor,Other,661,"743,-11,-16"
Total Solid Tumor,7 113,6 929,"3,-3"
Total Novartis Oncology business unit,15 476,14 711,"5,2"
"Immunology, Hepatology and Dermatology",Cosentyx,4 718,"3 995,18,13"
"Immunology, Hepatology and Dermatology",Ilaris,1 059,"873,21,30"
"Total Immunology, Hepatology and Dermatology",5 777,4 868,"19,15"
Neuroscience,Gilenya,2 787,"3 003,-7,-7"
Neuroscience,Zolgensma,1 351,"920,47,155"
Neuroscience,Kesimpta,372,"15,nm,nm"
Neuroscience,Mayzent,281,"170,65,nm"
Neuroscience,Aimovig,215,"164,31,59"
Neuroscience,Other,46,"51,-10,-15"
Total Neuroscience,5 052,4 323,"17,15"
Ophthalmology,Lucentis,2 160,"1 933,12,-7"
Ophthalmology,Xiidra,468,"376,24,96"
Ophthalmology,Beovu,186,"190,-2,nm"
Ophthalmology,Other,1 516,"1 911,-21,-22"
Total Ophthalmology,4 330,4 410,"-2,-8"
