CHAIRMAN OF THE BOARD,3 800
BOARD MEMBERSHIP,280
VICE CHAIRMAN,50
LEAD INDEPENDENT DIRECTOR,20
CHAIR OF THE AUDIT AND COMPLIANCE COMMITTEE,130
CHAIR OF THE COMPENSATION COMMITTEE,90
CHAIR OF THE FOLLOWING COMMITTEES:,
"• GOVERNANCE, NOMINATION AND CORPORATE RESPONSIBILITIES COMMITTEE",
• SCIENCE & TECHNOLOGY COMMITTEE,
• RISK COMMITTEE,70
MEMBERSHIP OF THE AUDIT AND COMPLIANCE COMMITTEE,70
MEMBERSHIP OF THE FOLLOWING COMMITTEES:,
• COMPENSATION COMMITTEE,
"• GOVERNANCE, NOMINATION AND CORPORATE RESPONSIBILITIES COMMITTEE",
• SCIENCE & TECHNOLOGY COMMITTEE,
• RISK COMMITTEE,40
