,Vested shares and ADRs1,Equity ownership level Unvested shares as a multiple of,Equity ownership level Unvested shares as a multiple of,"Unvested target PSUs (e.g.,LTPP)4","Total at December 31, 2021"
,Vested shares and ADRs1,and other equity rights2,annual base salary3,"Unvested target PSUs (e.g.,LTPP)4","Total at December 31, 2021"
Vasant Narasimhan,170111,74194,11x,144 632,388937
James Bradner,43744,38099,6x,72 709,154552
"Karen Hale (from May 15,2021)",0,3977,0x,5082,9059
Harry Kirsch,285186,41395,24x,71715,398 296
"Robert Kowalski (from September 1,2021)",0,21186,2x,16 376,37562
Steffen Lang,125286,32082,16x,33836,191204
Klaus Moosmayer,8312,9061,2x,25 671,43044
Richard Saynor,0,13913,1x,19800,33713
Susanne Schaffert,116 173,37 190,13x,50 611,203974
John Tsai,23382,26781,4x,60680,110843
Marie-France Tschudin,39353,31007,6x,53856,124216
Robert Weltevreden,27 758,16 224,5x,27 840,71822
Total,839305,345109,,582808,1767 222
