Variable compensation,2020 Annual Incentive (performance achieved),LTTP 2020-2022 cycle PSUs (target number),Other,Equity (number),LTTP 2020-2022 cycle PSUs (target number)
"Executive Committee members active on December 31, 2020",Vasant Narasimhan,15 327,61 498,0,"15 327,61 498"
"Executive Committee members active on December 31, 2020",Steven Baert,5 581,18 078,0,"5 581,18 078"
"Executive Committee members active on December 31, 2020",Bertrand Bodson,2 977,12 403,0,"2 977,12 403"
"Executive Committee members active on December 31, 2020",James Bradner,7 934,30 590,0,"7 934,30 590"
"Executive Committee members active on December 31, 2020",Harry Kirsch,6 811,29 813,0,"6 811,29 813"
"Executive Committee members active on December 31, 2020",Shannon Thyme Klinger,6 104,20 729,0,"6 104,20 729"
"Executive Committee members active on December 31, 2020",Steffen Lang,7 953,14 723,0,"7 953,14 723"
"Executive Committee members active on December 31, 2020",Klaus Moosmayer,2 808,9 043,0,"2 808,9 043"
"Executive Committee members active on December 31, 2020",Richard Saynor,4 535,15 955,0,"4 535,15 955"
"Executive Committee members active on December 31, 2020",Susanne Schaffert,9 264,21 678,0,"9 264,21 678"
"Executive Committee members active on December 31, 2020",John Tsai,5 564,23 424,0,"5 564,23 424"
"Executive Committee members active on December 31, 2020",Marie-France Tschudin,5 090,21 678,0,"5 090,21 678"
"Executive Committee members active on December 31, 2020",Robert Weltevreden,4 644,12 403,0,"4 644,12 403"
Total,84 592,292 015,0,84 592,292 015
