,Revenue deductions provisions at,Revenue deductions provisions related to discontinued,Effect of currency translation and business,,Income statement charge,Income statement charge,Change in provisions offset against gross trade,Revenue deductions provisions at
,Revenue deductions provisions at,Revenue deductions provisions related to discontinued,Effect of currency translation and business,,Payments/ Adjustments,Current year,Change in provisions offset against gross trade,Revenue deductions provisions at
(USD millions) 2021,January 1,operations1,combinations,utilizations,of prior years,,receivables,December 31
US-specific healthcare plans,,,,,,,,
and program rebates Non-US-specific healthcare plans,2053,,,-5326,-202,5 675,,2200
and program rebates Non-healthcare plans,2272,,-154,-3439,20,3451,5,2155
"and program-related rebates,",,,,,,,,
returns and other deductions,1931,,-64,-11073,-63,11287,108,2126
Total 2021,6256,,-218,- 19 838,-245,20413,113,6481
2020,,,,,,,,
US-specific healthcare plans and program rebates,1981,,,-5560,-107,5739,,2053
Non-US-specific healthcare plans and program rebates,1769,,167,-2597,7,2 940,-14,2 272
"Non-healthcare plans and program-related rebates,",,,,,,,,
returns and other deductions,1845,,67,- 11 137,-51,11 094,113,1931
Total2020,5595,,234,-19294,-151,19 773,99,6256
2019,,,,,,,,
US-specific healthcare plans,,,,,,,,
and program rebates Non-US-specific healthcare plans,1883,0,,-5183,-193,5474,,1981
and program rebates,1625,-28,-19,-2 467,-2,2659,1,1769
Non-healthcare plans,,,,,,,,
"and program-related rebates,",,,,,,,,
returns and other deductions,1754,,,,,,,1845
,,-166,9,- 11 698,,11 868,103,
,,,,,-25,,,
Total 2019,,-194,-10,- 19 348,,20001,104,5595
,5262,,,,-220,,,
