Compound/ product,Potential indication,Change,Reason
ACZ885,"Non-small cel lung cancer, 2nd line",Removed,Development discontinued
,"Non-small ell lung cancer,tline",Removed,Development discontinued
AVXS-201 (OAV201),Rett syndrome,Removed,Development discontinued
Beovu,Retinal vein occlusion,Removed,Development discontinued
BYL719,"Head and neck squamous cellcarcinoma, 2nd and 3rd line",Removed,Development discontinued
CEE321,Atopic dermatitis,Removed,Development discontinued
CFZ533,Renal transplantation,Removed,Development discontinued
ECF843,Dry eye,Removed,Development discontinued
Entresto,Chronic heart failure with preserved ejection fraction,Commercialized,
,Post-acute myocardial infarction,Removed,Development discontinued
KJX839 Kymriah,Hyperlipidemia,Commercialized as Leqvio,
,Relapsed/refractory diffuse large B-cell lymphoma in 1st relapse,Removed,Development discontinued
LJC242,Nonalcoholic steatohepatitis,Removed,Development discontinued
LMI070,Spinal muscular atrophy,Removed,Development discontinued
OMB157,Relapsing multiple sclerosis,Commercialized as Kesimpta,
PDR001,Malignant melanoma (combo),Removed,Development discontinued
Tabrecta,Solid tumors,Removed,Development discontinued
