,Board,Audit and,,"Governance, Nomination and Corporate",Science &,,,Cash,Shares Other,Total
membership,membership,Compliance Committee,Compensation Committee,Responsibilities Committee,Technology Committee,Risk Committee,Shares (number)1,(CHF) (A),(CHF) (CHF) (B),（CHF) (C）² (A)+(B)+(C)3
"Board members active on December 31,2021 Joerg Reinhardt4 Chairman","Board members active on December 31,2021 Joerg Reinhardt4 Chairman",,,,Chair,,22 830 1900000 1900 000 4560 3804 560,,,
,Vice Chairman /,,,,,,,,,
Enrico Vanni,Lead Independent Director7,,,,,,3035 244167,244167,3670,492004
Nancy C.Andrews,·,,,,,,2162 180000,180000,,360000
Ton Buechner,·,,,,,Chair,3625,175 000 240 000,4560,419 560
Patrice Bula,·,,,,,,1922,160 000 160 000,4560,324560
Elizabeth Doherty,·,Chair,,,,·,3391,206250 243750,1,450 000
Ann Fudge,·,,,,,,2162,180000 180000,,360 000
Bridgette Heller,·,.6,,,,,2128,189167 189167,二,378334
Frans van Houten,·,.6,,,,,4257,378 333,,378 333
Simon Moroney,·,,Chair6,,·,,2187,197 500 197500,4560,399 560
Andreas von Planta,·,,,Chair,,,2556,200 833 200 833,3670,405336
Charles L. Sawyers,·,,,·,,,2162,180000 180000,,360 000
William T. Winters,·,,,·,,,4325,360 000 1,,360000
Subtotal,,,,,,,56742 3812 917,,4653 750 25 580,8 492 247
Board members who stepped down at the 2021 AGM,,,,,,,,,,
Srikant Datar5,,,,,,,1970,23000,53 667,76 667
Subtotal,,,,,,,=,=,= =,、
Total,,,,,,,,,,58712 3835917 4707 417 25580 8568914
