(USD millions),2021,2020
Taxes other than income taxes,619,749
Restructuring provisions,345,459
Accrued expenses for goods and services received but not invoiced,1089,1167
Accruals for royalties,752,732
Accrued interests on financial debt,127,133
Provisions for deductions from revenue,6481,6256
"Accruals for compensation and benefits,including social security",2260,2286
Environmental remediation liabilities,49,167
Deferred income,123,56
"Provisions for product liabilities,governmental investigations and other legal matters1",56,306
Accrued share-based payments,253,269
Contingent considerations ²,119,62
Commitment for repurchase of own shares 3,2809,1769
Other payables,588,716
Total provisions and other current liabilities,15 670,15 127
