,2021,2021,2021,2020,2020,2020,2019,2019,2019
,Total,Total,Total,Total,Total,Total,Total,Total,Total
Number of outstanding shares (in millons),Novartis shares,treasury shares1,outstanding shares,Novartis shares,treasury shares1,outstanding shares,Novartis shares,treasury shares1,outstanding shares
,Note 2 467.0,-210.2,2 256.8,2527.3,-262.3,2 265.0,2 550.6,-239.4,2311.2
Balance atbeginning of year,Balance atbeginning of year,Balance atbeginning of year,Balance atbeginning of year,Balance atbeginning of year,Balance atbeginning of year,Balance atbeginning of year,Balance atbeginning of year,Balance atbeginning of year,Balance atbeginning of year
Shares canceled for capital,,,,,,,,,
reduction ²,-32.6,32.6,,-60.3,60.3,,-23.3,23.3,
Shares acquired to be,,,,,,,,,-60.3
canceled3,,-30.7,-30.7,,-32.6,-32.6,,-60.3,
Other share purchases 4,,-1.5,-1.5,,-1.7,-1.7,,-1.7,-1.7
Exercise of options,,,0.6,,,,,,5.5
and employee transactions518.9,,,0.6,,14.7,14.7,,5.5,
Equity-based compensation 5,,9.6,9.6,,11.0,11.0,,9.4,9.4
Shares delivered to Alcon employees,,,0.1,,0.4,0.4,,0.9,0.9
Total movements,-32.6,10.7,-21.9,-60.3,52.1,-8.2,-23.3,-22.9,-46.2
Balance at end of year,2 434.4,- 199.5,2 234.9,2 467.0,-210.2,2 256.8,2 527.3,-262.3,2 265.0
