,Machinery Construction and other,Machinery Construction and other,Machinery Construction and other,Machinery Construction and other,Machinery Construction and other
(USD millions),Land,Buildings,in progress,equipment,Total
Cost,,,,,
"January 1,2020",512,11 463,1350,13 674,26 999
Cost of assets related to disposal group held for sale 1,11,117,36,168,332
Impact of acquisitions of businesses,2,19,,5,26
Reclassifications,10,433,-1038,,
Additions,7,115,847,595 296,1265
Disposals and derecognitions,-23,-465,-57,-1656,-2201
Currency translation effects,36,695,110,956,1797
"December 31,2020",555,12 377,1248,14038,28218
