Assets,Note,2021,2020,2021,2020
Non-current assets,"Property, plant and equipment",9,11 545,12 263,"9,11 545,12 263"
Non-current assets,Right-of-use assets,10,1 561,1 676,"10,1 561,1 676"
Non-current assets,Goodwill,11,29 595,29 999,"11,29 595,29 999"
Non-current assets,Intangible assets other than goodwill,11,34 182,36 809,"11,34 182,36 809"
Non-current assets,Investments in associated companies,4,205,9 632,"4,205,9 632"
Non-current assets,Deferred tax assets,12,3 743,3 933,"12,3 743,3 933"
Non-current assets,Financial assets,13,3 036,2 901,"13,3 036,2 901"
Non-current assets,Other non-current assets,13,2 210,892,"13,2 210,892"
Non-current assets,Total non-current assets,86 077,98 105,86 077,"98 105,86 077,98 105"
Current assets,Inventories,14,6 666,7 131,"14,6 666,7 131"
Current assets,Trade receivables,15,8 005,8 217,"15,8 005,8 217"
Current assets,Income tax receivables,278,239,278,"239,278,239"
Current assets,"Marketable securities, commodities, time deposits and derivative financial instruments",16,15 922,1 905,"16,15 922,1 905"
Current assets,Cash and cash equivalents,16,12 407,9 658,"16,12 407,9 658"
Current assets,Other current assets,17,2 440,2 523,"17,2 440,2 523"
Current assets,Total current assets,45 718,29 673,45 718,"29 673,45 718,29 673"
Total assets,Total assets,131 795,127 778,131 795,"127 778,131 795,127 778"
