"January 1, 2020",-20,-5 124,-60,-9 726,-14 930
Accumulated depreciation on assets related to disposal group held for sale^1,-58,-4,-101,-163,
Accumulated depreciation on disposals and derecognitions,17,433,11,1 543,2 004
Depreciation charge^2,-491,-827,-1 318,,
Impairment charge,-15,-194,-10,-228,-447
Reversal of impairment charge,7,7,,,
Currency translation effects,-1,-373,-3,-731,-1 108
"December 31, 2020",-19,-5 807,-66,-10 063,-15 955
"Net book value at December 31, 2020",536,6 570,1 182,3 975,12 263
"Commitments for purchases of property, plant and equipment",256,,,,
