Pension plans,Long-term target minimum,Long-term target maximum,2021,2020
(as a percentage),,Equity securities,,",27,28"
Equity securities,,,15,"40,,,"
(as a percentage),,Debt securities,,",33,34"
Debt securities,,,20,"60,,,"
(as a percentage),,Real estate,,",19,17"
Real estate,,,5,"30,,,"
(as a percentage),,Alternative investments,,",15,13"
Alternative investments,,,0,"20,,,"
(as a percentage),,Cash and other investments,,",6,8"
Cash and other investments,,,0,"15,,,"
(as a percentage),,Total,,",100,100"
