2021,,,Change (2020 to,,Change (2019 to
,USD m,2020 USD m,2021) USD%,2019 USD m,2020) USD%
"Cardiovascular, Renal and Metabolism","Cardiovascular, Renal and Metabolism","Cardiovascular, Renal and Metabolism","Cardiovascular, Renal and Metabolism","Cardiovascular, Renal and Metabolism","Cardiovascular, Renal and Metabolism"
Entresto,3548,2497,42,1726,45
Leqvio,12,,nm,,
Other,,1,nm,24,-96
"Total Cardiovascular, Renal and Metabolism","Total Cardiovascular, Renal and Metabolism","Total Cardiovascular, Renal and Metabolism","Total Cardiovascular, Renal and Metabolism","Total Cardiovascular, Renal and Metabolism","Total Cardiovascular, Renal and Metabolism"
,3 560,2498,43,1750,43
Respiratory and Allergy,Respiratory and Allergy,Respiratory and Allergy,Respiratory and Allergy,Respiratory and Allergy,Respiratory and Allergy
Xolair1,1428,1251,14,1173,7
Ultibro Group,584,623,-6,630,-1
Other,53,26,104,22,18
Total Respiratory and Allergy 2 065,Total Respiratory and Allergy 2 065,Total Respiratory and Allergy 2 065,Total Respiratory and Allergy 2 065,Total Respiratory and Allergy 2 065,Total Respiratory and Allergy 2 065
Established Medicines,,,,,
Galvus Group,Galvus Group,Galvus Group,Galvus Group,Galvus Group,Galvus Group
,1092,1199,-9,1297,-8
Exforge Group,901,980,-8,1025,-4
Diovan Group Zortress/Certican,773,1003,-23,1064,-6
,431,452,-5,485,-7
Voltaren/Cataflam,373,360,4,417,-14
Neoral/Sandimmun(e),368,393,-6,419,-6
Contract manufacturing,108,,nm,,
Other Total Established,1689,1916,-12,2291,-16
Medicines,5 735,6303,-9,6 998,-10
Total Novartis Pharmaceuticals,Total Novartis Pharmaceuticals,Total Novartis Pharmaceuticals,Total Novartis Pharmaceuticals,Total Novartis Pharmaceuticals,Total Novartis Pharmaceuticals
business unit,26 519,24 302,9,23344,4
Total division net sales 41 995,,39013,,37714,
