Afinitor/Votubia,Solid Tumor,Breast cancer/TSC,521,417,938
Brands\tBusiness franchise\tKey indication\tUS USD m\tRest of world USD m\tTotal USD m,,,,,
Cosentyx\tImmunology,Hepatology and Dermatology\tPsoriasis,ankylosing spondylitis,psoriatic arthritis and non-radiographic axial spondyloarthritis\t2 883\t1 835\t4 718,,
Entresto\tCardiovascular,Renal and Metabolism\tChronic heart failure\t1 712\t1 836\t3 548,,,,
Gilenya\tNeuroscience\tRelapsing multiple sclerosis\t1 427\t1 360\t2 787,,,,,
Lucentis\tOphthalmology\tAge-related macular degeneration\t2 160\t2 160,,,,,
Tasigna\tHematology\tChronic myeloid leukemia\t882\t1 178\t2 060,,,,,
Lucentis\tOphthalmology\tAge-related macular degeneration\t2\t160\t2\t160,,,,,
Tasigna\tHematology\tChronic myeloid leukemia\t882\t1\t178\t2\t060,,,,,
Promacta/Revolade\tHematology\tImmune thrombocytopenia (ITP),severe aplastic anemia (SAA)\t947\t1\t069\t2\t016,,,,
Tafinlar + Mekinist\tSolid Tumor\tBRAF V600+ metastatic and adjuvant melanoma; advanced non-small cell lung cancer (NSCLC)\t606\t1\t087\t1\t693,,,,,
Jakavi\tHematology\tMyelofibrosis (MF),polycythemia vera (PV)\t1\t595\t1\t595,,,,
Xolair\tRespiratory and Allergy\tSevere allergic asthma (SAA),chronic spontaneous urticaria (CSU) and nasal polyps\t1\t428\t1\t428,,,,
Xolair^1,Respiratory and Allergy,"Severe allergic asthma (SAA), chronic spontaneous urticaria (CSU) and nasal polyps",1 428,1 428,
Sandostatin,Solid Tumor,Carcinoid tumors and acromegaly,843,"570,1 413",
Zolgensma,Neuroscience,Spinal muscular atrophy (SMA),469,"882,1 351",
Galvus Group,Established Medicines,Type 2 diabetes,1 092,1 092,
Galvus Group,"Immunology, Hepatology and Dermatology","Auto-inflammatory (CAPS, TRAPS, HIDS/MKD, FMF, SJIA, AOSD and gout)",501,"558,1 059",
Ilaris,Hematology,Chronic myeloid leukemia and GIST,263,"761,1 024",
Gleevec/Glivec,Solid Tumor,Breast cancer/TSC,521,"417,938",
Afinitor/Votubia,Solid Tumor,HR+/HER2- metastatic breast cancer,339,"598,937",
Kisqali,Solid Tumor,HR+/HER2- metastatic breast cancer,339,598,937
Exforge Group,Established Medicines,Hypertension,14,887,901
Diovan Group,Established Medicines,Hypertension,51,722,773
Kymriah,Hematology,"r/r pediatric and young adults ALL, DLBCL",230,357,587
Ultibro Group,Respiratory and Allergy,Chronic obstructive pulmonary disease (COPD),584,584,
Top 20 products total,11 688,20 976,32 664,,
Rest of portfolio,3 311,6 020,9 331,,
Total division sales,14 999,26 996,41 995,,
