USD millions,Pension plans,Other post-employment benefit plans
Benefit obligation at January 1,25 602,"632,23 066,746"
Current service cost,415,"11,372,11"
Interest cost,151,"16,222,20"
Past service costs and settlements,63,"-3,-102,1"
Administrative expenses,24,"24,24,24"
Remeasurement (gains)/losses arising from changes in financial assumptions,-713,"-20,1 166,40"
Remeasurement (gains)/losses arising from changes in demographic assumptions,-377,"4,-28,-13"
Experience-related remeasurement losses/(gains),531,"-47,159,-132"
Currency translation effects,-865,"-1,1 810,-7"
Benefit payments,-1 450,"-32,-1 264,-33"
Contributions of employees,179,"73,186,89"
"Effect of acquisitions, divestments or transfers",23,"2,-9,-1"
Benefit obligation at December 31,23 583,"560,25 602,632"
Fair value of plan assets at January 1,22 317,"89,19 810,134"
Interest income,105,"2,166,4"
Return on plan assets excluding interest income,1 512,"7,1 318,4"
Currency translation effects,-726,"-1,1 620,-7"
Novartis Group contributions,490,"7,464,-20"
Contributions of employees,179,"179,186,186"
Settlements,-7,"-32,15,89"
Benefit payments,-1 450,"-33,-1 264,-33"
"Effect of acquisitions, divestments or transfers",2,2
Fair value of plan assets at December 31,22 420,"73,22 317,89"
Funded status,-1 163,"-487,-3 285,-543"
Limitation on recognition of fund surplus at January 1,-51,"-51,-65"
Change in limitation on recognition of fund surplus (incl. exchange rate differences),-10,16
Interest income on limitation of fund surplus,-1,-2
Limitation on recognition of fund surplus at December 31,-62,-51
Net liability in the balance sheet at December 31,-1 225,"-487,-3 336,-543"
