Goodwill,Total,In-process research and development,Technologies,Currently marketed products,Other intangible assets,Total
Cost,,,,,,
"January 1, 2020",26 825,7 429,884,43 548,1 558,53 419
Cost of assets reclassified out of assets of disposal group held for sale^1,10,276,1 112,2,1 400,
Impact of acquisitions of businesses,2 580,8 600,196,218,9 014,
Reclassifications^2,-9 272,-2,9 274,,,
Impact of acquisitions of businesses,8 600,196,218,9 014,,
Additions^3,339,674,412,1 425,,
Disposals and derecognitions^4,-421,-101,-39,"-11,-572",,
Currency translation effects,208,58,2 568,"205,3 039",,
"December 31, 2020",30 321,,,,,
Accumulated amortization,,,,,,
"January 1, 2020",-301,,,,,
Accumulated amortization on assets reclassified out of assets of disposal group held for sale^1,2,107,816,925,,
"January 1, 2020",-301,-2 005,-721,-20 969,-937,-24 632
Accumulated amortization on assets reclassified out of assets of disposal group held for sale ^1,-2,-107,-816,,-925,
Amortization charge ^5,-72,-3 215,-175,-3 462,,
Accumulated amortization on disposals and derecognitions ^4,421,101,39,6,567,
Impairment charge ^6,-515,-40,-338,-21,-914,
Currency translation effects,-21,-92,-46,-1 267,-145,-1 550
"December 31, 2020",-322,-2 193,-885,-26 566,-1 272,-30 916
"Net book value at December 31, 2020",29 999,4 700,230,30 767,1 112,36 809
