Business franchise,Key indication,Rest of,Rest of,Rest of,Total USDm
Business franchise,Key indication,,US USD m,world USDm,Total USDm
Cosentyx,"Immunology, Hepatology and Dermatology","Psoriasis,ankylosing spondylitis and psoriatic arthritis",2 220,1331,3551
Gilenya,Neuroscience,Relapsing multiple sclerosis,1736,1487,3223
,,Age-related,,,
Lucentis Tasigna,Ophthalmology Hematology,macular degeneration Chronic myeloid leukemia,,2086 1076,2 086 1880
,"Cardiovascular, Renal",,804,,
Entresto,and Metabolism,Chronic heart failure Carcinoid tumors,925,801,1726
Sandostatin,Solid Tumor,and acromegaly,881,704,1585
Afinitor/Votubia,Solid Tumor,Breast cancer/TSC,1003,536,1539
Promacta/Revolade,,"Immune thrombocytopenia (ITP),",,,
,Hematology,severe aplastic anemia (SAA) BRAF V600+ metastatic,691,725,1416
Tafinlar + Mekinist,Solid Tumor,and adjuvant melanoma; advanced non-small celi lung cancer (NSCLC),,,
Galvus Group,Established Medicines,Type 2 diabetes,481,857 1297,1338 1297
Gleevec/Glivec,Hematology,Chronic myeloid leukemia and GIST,334,929,1263
,,Severe allergic asthma (SAA) and chronic spontaneous urticaria,,,
Xolair1,Respiratory and Allergy,(CSU),,1173,1173
Jakavi,Hematology,"Myelofibrosis (MF), polycythemia vera(PV)",,1114,1114
Diovan Group,Established Medicines,Hypertension,86,978,1064
Exforge Group,Established Medicines,Hypertension,13,1012,1025
Exjade/Jadenu Votrient,Hematology,Chronic iron overload,450,525,975
,Solid Tumor,"Renal cell carcinoma Auto-inflammatory (CAPS,",332,423,755
llaris,"Immunology, Hepatology and Dermatology","TRAPS,HIDS/MKD,FMF, SJIA,AOSD and gout)",304,367,671
Zortress/Certican,Established Medicines,Transplantation,169,316,485
Kisqali,Solid Tumor,HR+/HER2-,,,
Top 20 products total,,metastatic breast cancer,250,230,480
,,,10 679,17 967,28 646
Rest of portfolio,,,3110,5958,9068
Total division sales,,,13789,23925,37714
