Biogen,Bristol-Myers Squibb,Eli Lilly & Co.,Position 3 - 5,130% - 160%
Award vehicle,"Performance share units (PSUs) are granted at the beginning of the three-year performance cycle and vest at the end of the cycle to the extent that performance conditions have been met. At the time of vesting, they are converted into Novartis shares. PSUs carry dividend equivalents that are paid in shares at the end of the cycle.",,,
Grant formula,"At the start of the performance cycle, PSUs are granted under the Long-Term Incentive plan, as follows:",,,
Step 1,"Annual base salary,x,Target incentive %,=,Grant value",,,
Step 2,"Grant value,/,Share price,=,Target number of PSUs",,,
Target opportunity,CEO: 325% of annual base salary,,,
Other Executive Committee members: between 180% and 260% of annual base salary,,,,
tsv,,,,
Target opportunity,CEO: 325% of annual base salary,Other Executive Committee members: between 180% and 260% of annual base salary,,
Performance measures,Net sales CAGR-Core operating income CAGR-Innovation metrics-Relative TSR,,,
Target setting,Financial targets: Targets for net sales CAGR and core operating income CAGR are set based on the strategic plan of the Company.,Innovation: Global Drug Development (GDD) targets are based on targeted filings communicated at the start of each performance cycle. The Science & Technology Committee determines the most important Novartis Institutes for BioMedical Research (NIBR) milestones.,,
Payout range,"Financial targets: When assessing performance, achievements for threshold, target and maximum payout are defined for each metric and a payout curve is applied to determine the corresponding payout between 0-200% against target.","Innovation: At the end of the cycle, the Compensation Committee determines the payout factor in the range of 0-150% based on the performance assessment made by the Science & Technology Committee. A payout between 175-200% of the maximum salary and target payout is the reference.",,
Global healthcare peer group	AbbVie	Amgen	AstraZeneca	Biogen	Bristol-Myers Squibb	Eli Lilly & Co	GlaxoSmithKline	Gilead Sciences	Johnson & Johnson	Novartis position in the peer group	Position 1 - 2	Position 3 - 5	Position 6 - 8	Payout range (% of target)	170% - 200%	130% - 160%	80% - 120%,,,,
GlaxoSmithKline,Gilead Sciences,Johnson & Johnson,Position 6 - 8,80% - 120%
Novo Nordisk,Merck & Co.,Pfizer,Position 9 - 15,0%
Roche,Sanofi,,,
The Compensation Committee may use its discretion on each metric,including deciding on the payout within the ranges where appropriate. In doing so,it takes into consideration factors such as the underlying assumptions of the targets set at the beginning of the cycle,overall economic conditions,"currency fluctuations and other unforeseeable situations.,"
Payout formula,,,,
Target number of PSUs,x,Performance factor,+,"Dividend equivalents,=,Realized PSUs"
