,2021,2020,2019
Basic earnings per share from continuing operations (USD),10.71,3.55,3.12
Basic earnings per share from discontinued operations (USD),,,2.00
Total basic earnings per share (USD),10.71,3.55,5.12
Diluted earnings per share from continuing operations (USD),10.63,3.52,3.08
Diluted earnings per share from discontinued operations (USD),,,1.98
Total diluted earnings per share (USD),10.63,3.52,5.06
Net cash flows from operating activities from continuing operations (USD),6.72,5.99,5.91
Year-end equity for Novartis AG shareholders (USD),30.31,25.07,24.49
Dividend (CHF)2,3.10,3.00,2.95
Dividend (USD)3,3.39,3.20,3.12
