,Pension plans,Pension plans,Other post-employment benefit plans,Other post-employment benefit plans
,2021,2020,2021,2020
(USD millions) Benefit obligation at January 1,25 602,23066,632,746
Current service cost,415,372,11,11
Interest cost,151,222,16,20
Past service costs and settlements,63,-102,-3,1
Administrative expenses,24,24,,
Remeasurement (gains)/losses arising from changes in financial assumptions,-713,1166,-20,40
Remeasurement (gains)/losses arising from changes in demographic assumptions,-377,-28,4,-13
Experience-related remeasurement losses/(gains),531,159,-47,-132
Currency translation effects,-865,1810,-1,-7
Benefit payments,-1450,-1264,-32,-33
Contributions of employees,179,186,,
"Effect of acquisitions,divestments or transfers",23,-9,,-1
Benefit obligation at December 31,23583,25602,560,632
Fair value of plan assets at January 1,22317,19810,89,134
Interest income,105,166,2,4
Return on plan assets excluding interest income,1512,1318,7,4
Currency translation effects,-726,1620,,
Novartis Group contributions,490,464,7,-20
Contributions of employees,179,186,,
Settlements,-7,15,,
Benefit payments,-1450,-1264,-32,-33
"Effect of acquisitions,divestments or transfers",,2,,
Fair value of plan assets at December 31,22420,22317,73,89
Funded status,-1163,-3285,-487,-543
Limitation on recognition of fund surplus at January 1,-51,-65,,
Change in limitation on recognition of fund surplus (incl. exchange rate differences),-10,16,,
Interest income on limitation offund surplus,-1,-2,,
Limitation on recognition of fund surplus at December 31,-62,-51,,
Net liability in the balance sheet at December 31,-1225,-3336,-487,-543
