"January 1,2020",-20,-5124,-60,-9 726,- 14 930
Accumulated depreciation on assets related to disposal group held for sale1,,-58,-4,-101,-163
Accumulated depreciation on disposals and derecognitions,17,433,11,1543,2004
Depreciation charge ²,,-491,,-827,-1318
Impairment charge,-15,-194,-10,-228,-447
Reversal of impairment charge,,,,7,7
Currency translation effects,-1,-373,-3,-731,-1108
"December31,2020",-19,-5807,-66,-10063,-15955
"Net book value at December 31,2020",536,6570,1182,3975,12263
"Commitments for purchases of property,plant and equipment",,,,,256
