Between two and three years,162,198,186,226
Lease liabilities\tLease liabilities undiscounted\tLease liabilities\tLease liabilities undiscounted,,,,
2021\t2021\t2020\t2020,,,,
Less than one year\t275\t324\t286\t338,,,,
Between one and two years\t216\t258\t229\t274,,,,
Between two and three years\t162\t198\t186\t226,,,,
Between three and four years\t139\t172\t148\t183,,,,
Between three and four years,139,172,148,183
Between four and five years,122,154,129,160
After five years,982,2 243,1 027,2 326
Total lease liabilities,1 896,3 349,2 005,3 507
Less current portion of lease liabilities,-275,-324,-286,-338
Non-current portion of lease liabilities,1 621,3 025,1 719,3 169
Less current portion of lease liabilities    -275    -324    -286    -338,,,,
Non-current portion of lease liabilities    1621    3025    1719    3169,,,,
Commitments for leases not yet commenced    134    4,,,,
