Note,2021,2020
Income from investment in Group subsidiaries,8 082,8 882
License income,228,217
Other income,2,2
Total income,8 312,9 101
Amortization of goodwill,3,"-252,-252"
Impairment of investment in Group subsidiaries,-85,
Litigation and settlement costs,4,"-117,"
General and administrative expenses,-13,-13
Total expenses,-350,-382
Operating income,7 962,8 719
Financial income,5,"442,466"
Financial expenses,5,"-160,-220"
Extraordinary expenses,-1,"-11,"
Income before taxes,8 243,8 954
Direct taxes,-69,-87
Net income of the year,8 174,8 867
