Model,SQuAD v1.1,SQuAD v1.1,SQuAD v2.0,SQuAD v2.0,QuoRef,QuoRef
Model,EM,F1,EM,F1,EM,F1
"QANet (Yu et al., 2018b) BERT (Devlin et al., 2018)",73.6 84.1,82.7 90.9,- 78.7,- 81.9,34.41 58.44,38.26 64.95
BERT+FL,84.67 (+0.57),91.25 (+0.35),78.92 (+0.22),82.20 (+0.30),60.78 (+2.34),66.19 (+1.24)
BERT+DL,84.83 (+0.73),91.86 (+0.96),78.99 (+0.29),82.88 (+0.98),62.03 (+3.59),66.88 (+1.93)
BERT+DSC,85.34 (+1.24),91.97,79.02,82.95,62.44,67.52
"XLNet (Yang et al., 2019)",88.95,(+1.07) 94.52,(+0.32) 86.12,(+1.05) 88.79,(+4.00) 64.52,(+2.57) 71.49
XLNet+FL,88.90 (-0.05),94.55 (+0.03),87.04 (+0.92),89.32,65.19,72.34
XLNet+DL,89.13,95.36,87.22,(+0.53) 89.44,(+0.67) 65.77,(+0.85) 72.85
XLNet+DSC,(+0.18) 89.79 (+0.84),(+0.84) 95.77 (+1.25),(+1.10) 87.65 (+1.53),(+0.65) 89.51 (+0.72),(+1.25) 65.98 (+1.46),(+1.36) 72.90 (+1.41)
