,Test Mean,Median,Max
BERT,$\mathbf { 0 . 6 7 1 } \pm 0 . 0 9$,0.712,0.770
BERT (W),$0 . 6 5 6 \pm 0 . 0 5$,0.675,0.712
"BERT (R,W)",$0 . 6 0 0 \pm 0 . 1 0$,0.574,0.750
"BERT (C,W)",$0 . 5 3 2 \pm 0 . 0 9$,0.503,0.732
BoV,$\overline { { 0 . 5 6 4 \pm 0 . 0 2 } }$,0.569,0.595
BoV (W),$0 . 5 6 7 \pm 0 . 0 2$,0.572,0.606
"BoV (R, W)",$0 . 5 5 4 \pm 0 . 0 2$,0.557,0.579
"BoV (C,W)",$0 . 5 4 5 \pm 0 . 0 2$,0.544,0.589
BiLSTM,$\overline { { 0 . 5 5 2 \pm 0 . 0 2 } }$,0.552,0.592
BiLSTM (W),$0 . 5 5 0 \pm 0 . 0 2$,0.547,
,,,0.577
"BiLSTM (R,W)",$0 . 5 4 7 \pm 0 . 0 2$,0.551,0.577
"BiLSTM (C, W)",$0 . 5 5 2 \pm 0 . 0 2$,0.550,0.601
