Ex-U.S. Location: Manufacturing Administrative R&D Sales & marketing Warehouse center,Ex-U.S. Location: Manufacturing Administrative R&D Sales & marketing Warehouse center,Ex-U.S. Location: Manufacturing Administrative R&D Sales & marketing Warehouse center,Ex-U.S. Location: Manufacturing Administrative R&D Sales & marketing Warehouse center,Ex-U.S. Location: Manufacturing Administrative R&D Sales & marketing Warehouse center,Ex-U.S. Location: Manufacturing Administrative R&D Sales & marketing Warehouse center,Ex-U.S. Location: Manufacturing Administrative R&D Sales & marketing Warehouse center
Brazil,√,$\checkmark$,,$\checkmark$,√,
Canada,,$\checkmark$,$\checkmark$,$\checkmark$,,
China,,$\checkmark$,,$\checkmark$,,
Germany,,$\checkmark$,$\checkmark$,$\checkmark$,,
Iceland,,$\checkmark$,$\checkmark$,,,
Ireland,$\checkmark$,$\checkmark$,,$\checkmark$,$\checkmark$,
Japan,,$\checkmark$,$\checkmark$,$\checkmark$,,
Netherlands,$\checkmark$,$\checkmark$,,$\checkmark$,$\checkmark$,
Singapore,$\checkmark$,$\checkmark$,,$\checkmark$,$\checkmark$,
Switzerland,,$\checkmark$,,$\checkmark$,,
Turkey,$\checkmark$,$\checkmark$,,$\checkmark$,$\checkmark$,$\checkmark$
United Kingdom,,$\checkmark$,$\checkmark$,$\checkmark$,,
Other countries,,$\checkmark$,$\checkmark$,$\checkmark$,$\checkmark$,
