Signature,Title,Date
/S/ ROBERTA.BRADWAY,"Chairman of the Board, Chief Executive Officer and President, and Director",2/8/2021
Robert A.Bradway /S/ PETERH.GRIFFITH,(Principal Executive Officer) Executive Vice President and,2/8/2021
Peter H. Griffith,Chief Financial Officer (Principal Financial Officer),
/S/ LINDA H.LOUIE Linda H. Louie,"Vice President, Finance and Chief Accounting Officer (Principal Accounting Officer)",2/8/2021
/S/ WANDAM.AUSTIN,Director,2/8/2021
Wanda M. Austin /S/ BRIAN J.DRUKER,Director,2/8/2021
Brian J.Druker /S/ ROBERTA.ECKERT,,
Robert A.Eckert,Director,2/8/2021
/S/ GREG C.GARLAND Greg C. Garland,Director,2/8/2021
/S/ FRED HASSAN Fred Hassan,Director,2/8/2021
"/S/ CHARLESM.HOLLEYJR. Charles M. Holley, Jr.",Director,2/8/2021
/S/ TYLER JACKS Tyler Jacks,Director,2/8/2021
/S/ ELLENJ.KULLMAN,Director,2/8/2021
Ellen J.Kullman /S/ AMYE. MILES,,
Amy E. Miles,Director,2/8/2021
/S/ RONALDD.SUGAR,,
,Director,2/8/2021
Ronald D. Sugar,,
/S/ R.SANDERSWILLIAMS,Director,2/8/2021
