"Fair value measurement as of December 31, 2019, using:",Quoted prices in active markets for identical assets (Level 1),Significant other observable inputs (Level 2),Significant unobservable inputs (Level 3),Total
Assets:,,,,
Available-for-sale securities:,,,,
U.S. Treasury notes,$ 360,,,$ 360
U.S. Treasury bills,,,,
Corporate debt securities:,,,,
Financial,,"1,121",,"1,121"
Industrial,,,834,834
Other,,,198,198
Residential-mortgage-backed securities,,,182,182
Money market mutual funds,"$ 5,250",,,"$ 5,250"
Other short-term interest-bearing securities,,,289,289
Equity securities,303,,,303
Derivatives:,,,,
Foreign currency contracts,,,224,224
Cross-currency swap contracts,,,66,66
Interest rate swap contracts,,,259,259
Total assets,"$ 5,913","$ 3,173",,"$ 9,086"
Liabilities:,,,,
Derivatives:,,,,
Foreign currency contracts,,,31,31
Cross-currency swap contracts,,315,,315
Interest rate swap contracts,,,,
Contingent consideration obligations,,,61,61
Total liabilities,$,$ 407,,$ 407
