"Year ended December 31, 2020","Year ended December 31, 2019","Year ended December 31, 2018"
U.S.,ROW,"Total,U.S.,ROW,Total,U.S.,ROW,Total"
Enbrel® (etanercept),"$ 4,855","$ 141,$ 4,996,$ 5,050,$ 176,$ 5,226,$ 4,807,$ 207,$ 5,014"
Prolia® (denosumab),"1,830","933,2,763,1,772,900,2,672,1,500,791,2,291"
Neulasta® (pegfilgrastim),"2,001","292,2,293,2,814,407,3,221,3,866,609,4,475"
Otezla®(1),"1,790","405,2,195,139,39,178,—,—,—"
XGEVA® (denosumab),"1,405","494,1,899,1,457,478,1,935,1,338,448,1,786"
Aranesp® (darbepoetin alfa),629,"939,1,568,758,971,1,729,942,935,1,877"
KYPROLIS® (carfilzomib),710,"355,1,065,654,390,1,044,583,385,968"
Repatha® (evolocumab),459,"428,887,376,285,661,358,192,550"
Other products,"4,306","2,268,6,574,3,511,2,027,5,538,4,035,1,537,5,572"
Total product sales(2),"17,985","6,255,24,240,16,531,5,673,22,204,17,429,5,104,22,533"
Other revenues,511,"673,1,184,693,465,1,158,929,285,1,214"
Total revenues,"$ 18,496","$ 6,928,$ 25,424,$ 17,224,$ 6,138,$ 23,362,$ 18,358,$ 5,389,$ 23,747"
