,,Foreign currency Cash flow hedges translation,Foreign currency Cash flow hedges translation,Available-for- sale securities,Available-for- sale securities,AOCI,AOCI
"Balance as of December 31, 2017",$,(529) $,(6) $,(144) $,Other,$ (679),
"Cumulative effect of change in accounting principle, net of tax",,,,,,,
Foreign currency translation adjustments,(141),,,(9),,(9) (141),
Unrealized gains (losses),,,61,(556),,(495),
Reclassification adjustments to income,,,262,365,,627,
Other losses,,,,,(2),(2),
Income taxes,,,(76),6,,(70),
"Balance as of December 31, 2018",(670),,241,(338),(2),(769),
Foreign currency translation adjustments,(48),,,,,,
Unrealized gains,,,127,424,,(48) 551,
Reclassification adjustments to income,,,(211),(56),,(267),
Other losses,,,,,(5),,
Income taxes,,,18,(8),,(5) 10,
"Balance as of December 31,2019",(718),,175,22,(7),(528),
Foreign currency translation adjustments,,9,,,,9,
Unrealized (losses) gains,,,(61),6,,(55),
Reclassification adjustments to income,,,(501),(33),,(534),
Other losses,,,,,(7),(7,
Income taxes,,,124,6,,130,
"Balance as of December 31, 2020",$,（709)$,(263)$,1,(14S,（985),
