Notes,"December 31, 2020 Notional amounts","December 31, 2020 Effective interest rates","December 31, 2019 Notional amounts","December 31, 2019 Effective interest rates"
3.45% 2020 Notes,$,LIBOR + 1.1%,$,LIBOR + 1.1%
4.10% 2021 Notes,—,LIBOR + 1.7%,"1,000",LIBOR + 1.7%
3.875% 2021 Notes,—,LIBOR + 2.0%,"1,750",LIBOR + 2.0%
3.625% 2022 Notes,750,LIBOR + 2.7%,750,LIBOR + 1.6%
3.625% 2024 Notes,"1,400",LIBOR + 3.2%,"1,400",LIBOR + 1.4%
3.125% 2025 Notes,"1,000",LIBOR + 1.8%,"1,000",LIBOR + 0.9%
2.60% 2026 Notes,"1,250",LIBOR + 1.8%,"1,250",LIBOR + 0.3%
4.663% 2051 Notes,"1,500",LIBOR + 2.6%,"1,500",LIBOR + 0.0%
Total notional amounts,$,"5,900",$,"9,550"
