Product,Territory,General subject matter,Expiration
Enbrel (tanercept),U.s.,Methods of treatment using aqueous formulations Formulations,6/8/2023
Enbrel (tanercept),U.s.,,10/19/2037
Enbrel (tanercept),U.s.,Fusion protein and pharmaceutical compositions,11/22/2028
,U.s.,DNA encoding fusion protein and methods of making fusion protein,4/24/2029
,U.s. u.s.,RANKL antibodies,9/17/2021
,,Methods of treatment,6/25/2022
,U.S.,Nucleic acids encoding RANKL antibodies and methods of producing RANKL antibodies,11/30/2023
,U.s.,"RANKL antibodies, including sequences",2/19/2025
,Europe,"RANKL antibodies, including epitope binding",2/23/2021
,Europe,"RANKL antibodies,iudingqc",6/25/2022
Otezla (premilast),u.s.,Compositions and compounds,2/16/2028
Otezla (premilast),U.S.,Crystalline form Methods of treatment,12/9/2023
Otezla (premilast),U.S.,,5/29/2034
Otezla (premilast),Europe,"Compositions,compounds and methods of treatment()",3/20/2023
Otezla (premilast),Europe,Formulation,12/26/2032
Aranesp? (darbepoetin alfa),U.S.,Glycosylationanalogs oferythropoietin proteins,5/15/2024
Aranesp? (darbepoetin alfa),u.s.,Compositions and compounds,12/7/2027
Aranesp? (darbepoetin alfa),u.s.,Methods of treatment,4/14/2025
KYPROLIS? (carfilzomib),U.s.,Methods of making,5/8/2033
KYPROLIS? (carfilzomib),Europe,"Compositions,compounds and methods oftreatment()",12/7/2025
KYPROLIS? (carfilzomib),u.s.,Antibodies(2),10/25/2029
KYPROLIS? (carfilzomib),u.s.,Methods of treatment,10/8/2030
Repatha® (evolocumab),Europe,Compostions(),8/22/2028
Repatha® (evolocumab),Europe,Methods of treatment,5/10/2032
Repatha® (evolocumab),Europe,Formulation,5/3/2033
Repatha® (evolocumab),U.S.,Thrombopoietic compounds,1/19/2022
Nplate@(romiplostim),U.s.,Formulation,2/12/2028
Nplate@(romiplostim),Europe,Thrombopoietic compounds(l),10/22/2019
Nplate@(romiplostim),Europe,Formulation,4/20/2027
Vectibix@ (panitumumab),Europe,Human monoclonal antibodies to epidermal growth factor receptor(1),5/5/2018
Parsabiv@ (etelcalcetide),U.s.,Compound and pharmaceutical composition,2/7/2031
Parsabiv@ (etelcalcetide),U.s.,Formulation,6/27/2034
Parsabiv@ (etelcalcetide),U.s.,Methods of making,8/9/2035
Parsabiv@ (etelcalcetide),Europe,Compound and pharmaceutical composition(l),7/29/2030
,Europe,Formulation,6/27/2034
,u.s.,Pharmaceutical compositions and bifunctional polypeptides,4/6/2030
,u.s.,Method of administration,9/28/2027
,Europe,Bifunctional polypeptides (),11/26/2024
,Europe,Method of administration,11/6/2029
Aimovig (erenumab-aooe),u.s.,CGRP receptor antibodies(2),11/9/2031
Aimovig (erenumab-aooe),U.s.,Methods of treatment,4/22/2036
Aimovig (erenumab-aooe),Europe,CGRP receptor antibodies(1),12/18/2029
Aimovig (erenumab-aooe),Europe,Methods of treatment,8/10/2035
EVENITY? (romosozumab-aqqg),u.s.,Antibodies(2),4/25/2026
EVENITY? (romosozumab-aqqg),U.s.,Methods of treatment(2),1/11/2029
EVENITY? (romosozumab-aqqg),U.S.,Formulation and methods of using formulation,5/11/2031
EVENITY? (romosozumab-aqqg),Europe,Antibodies(1),4/28/2026
EVENITY? (romosozumab-aqqg),Europe,Methods of treatment,4/18/2032
EVENITY? (romosozumab-aqqg),Europe,Formulation and methods of using formulation,5/11/2031
IMLYGIC® (talimogene laherparepvec),u.s.,Compositions,11/23/2025
IMLYGIC® (talimogene laherparepvec),U.s. Europe,Method of treatment,3/27/2022
IMLYGIC® (talimogene laherparepvec),,Composition and uses(1),3/27/2022
