Year ended December 31,2020,Change,Year ended December 31,2019,Change,Year ended December 31,2018
ENBREL,"$ 4,996","(""-4%"")","$ 5,226",4 %,"$ 5,014",,
Prolia®,"2,763","(""3 %"")","$ 2,672",17 %,"$ 2,291",,
Neulasta®,"2,293","(""-29 %"")","$ 3,221",(28) %,"$ 4,475",,
Otezla®,"2,195",*,178,N/A,---,,
XGEVA®,"1,899","(""-2 %"")","$ 1,935",8 %,"$ 1,786",,
Aranesp®,"1,568","(""-9 %"")","$ 1,729",(8) %,"$ 1,877",,
KYPROLIS®,"1,065",2 %,1044,8 %,$ 968,,
Repatha®,887,"(""34 %"")",$ 661,20 %,$ 550,,
Other products,"6,574","(""19 %"")","$ 5,538",(1) %,"$ 5,572",,
Total product sales,"$ 24,240","(""9 %"")","$ 22,204",(1) %,"$ 22,533",,
Total U.S.,"$ 17,985","(""9 %"")","$ 16,531",(5) %,"$ 17,429",,
Total ROW,"6,255","(""10 %"")","$ 5,673",11 %,"$ 5,104",,
Total product sales,"$ 24,240","(""9 %"")","$ 22,204",(1) %,"$ 22,533",,
