"Year ended December 31,2020",Change,"Year ended December 31,2019",Change,"Year ended December 31,2018"
ENBREL,"$ 4,996",(,-4,)
Prolia®,"2,763","("""",""3 "","")","$ 2,672",17
Neulasta®,"2,293","("""",""-29 "","")","$ 3,221",-28
Otezla®,"2,195",*,178,N/A
XGEVA®,"1,899","("""",""-2 "","")","$ 1,935",8
Aranesp®,"1,568","("""",""-9 "","")","$ 1,729",-8
KYPROLIS®,"1,065",2,"%,",1044
Repatha®,887,"("""",""34 "","")",661,20
Other products,"6,574","("""",""19 "","")","$ 5,538",-1
Total product sales,"$ 24,240","("""",""9 "","")","$ 22,204",-1
Total U.S.,"$ 17,985","("""",""9 "","")","$ 16,531",-5
Total ROW,"6,255","("""",""10 "","")","$ 5,673",11
