,"Year ended December31,","Year ended December31,",,,"Year ended December 31,","Year ended December 31,","Year ended December 31,","Year ended December 31,"
Operating expenses:,2020,,Change,,2019,Change,,2018
Cost of sales,"$6,159",,,,"41% $4,356",,"6% $4,101",
% of product sales,,25.4 %,,,19.6 %,,,18.2 %
% of total revenues,,24.2 %,,,18.6%,,,17.3 %
Research and development,$,"4,207",,,"2% $ 4,116",,10%$,"3,737"
% of product sales,,17.4 %,,,18.5 %,,,16.6 %
% of total revenues,,16.5 %,,,17.6 %,,,15.7 %
"Selling, general and administrative",$,"5,730",,,"11% $5,150",,,"(3)% $5,332"
% of product sales,,23.6 %,,,23.2 %,,,23.7 %
% of total revenues,,22.5 %,,,22.0 %,,,22.5 %
Other,$,189,,*$,66,,(79)% $,314
