,"Year ended December 31,","Year ended December31, 2019","Year ended December31, 2019",Change,"Year ended December 31, 2018"
ENBREL,"Year ended December 31,","2020 4,996",Change (4)% $,Change,"Year ended December 31, 2018"
Prolia@,$,3%,"5,226 2.672",4% $ 17 %,"5,014"
,"2,763",,,,"2,291"
Neulasta? Otezla,"2,293",(29)% *,"3,221 178",(28)%,"4,475"
XGEVA?,"2,195",,,N/A,
Aranesp?,"1,899",(2)% (9)%,"1,935",8%,"1,786"
KYPROLIS?,"1,568",2%,"1,729",(8)%,"1,877"
Repatha@,"1,065",,"1,044",8%,968
Other products,887,34% 19 %,661,20%,550
,"6,574",9% S,"5,538 22,204",(1)%,"5,572"
Total product sales,"$ 24,240",9% $,,(1)% S,"22,533"
Total U.S. Total ROW,"$ 17,985",10%,"16,531 5,673",(5)% $,"17,429"
Total product sales,"6,255 $ 24,240",9% S,"22,204",11 % (1)% S,"5,104 22,533"
